"name","id","country","league","player_handedness"
"S.KUZNETSOVA","5745","RUS","wta","right-handed"
"S.PENG","WTA160471","CHN","wta","right-handed"
"S.ROGERS","WTA317421","USA","wta","right-handed"
"S.SORRIBESTORMO","WTA318872","ESP","wta","right-handed"
"S.SORRIBESTORMO","28888","ESP","wta","right-handed"
"S.STEPHENS","21500","USA","wta","right-handed"
"S.STEPHENS","WTA315683","USA","wta","right-handed"
"S.STOSUR","WTA190787","AUS","wta","right-handed"
"S.WILLIAMS","3370","USA","wta","right-handed"
"S.WILLIAMS","WTA230234","USA","wta","right-handed"
"S.ZHANG","WTA311779","CHN","wta","right-handed"
"S.ZHANG","11362","CHN","wta","right-handed"
"S.ZHENG","WTA316286","CHN","wta","right-handed"
"T.BABOS","WTA317070","HUN","wta","right-handed"
"T.MARIA","WTA310440","GER","wta","right-handed"
"T.PIRONKOVA","WTA311041","BUL","wta","right-handed"
"T.TOWNSEND","WTA318609","USA","wta","left-handed"
"T.ZIDANSEK","WTA323079","SLO","wta","right-handed"
"T.ZIDANSEK","33787","SLO","wta","right-handed"
"V.AZARENKA","12595","BLR","wta","right-handed"
"V.AZARENKA","WTA312001","BLR","wta","right-handed"
"V.DIATCHENKO","21248","RUS","wta","right-handed"
"V.DIATCHENKO","WTA315030","RUS","wta","right-handed"
"V.GOLUBIC","WTA316296","SUI","wta","right-handed"
"V.GRACHEVA","WTA325836","RUS","wta","right-handed"
"V.GRACHEVA","40609","RUS","wta","right-handed"
"V.KUDERMETOVA","WTA319526","RUS","wta","right-handed"
"V.KUDERMETOVA","30646","RUS","wta","right-handed"
"V.KUZMOVA","33675","SVK","wta","right-handed"
"V.KUZMOVA","WTA322277","SVK","wta","right-handed"
"V.SAVINYKH","WTA315428","RUS","wta","right-handed"
"V.WILLIAMS","WTA230220","USA","wta","right-handed"
"V.WILLIAMS","2332","USA","wta","right-handed"
"V.ZVONAREVA","WTA260142","RUS","wta","right-handed"
"W.OSUIGWE","WTA326101","USA","wta","right-handed"
"Y.BONAVENTURE","WTA317317","BEL","wta","left-handed"
"Y.PUTINTSEVA","WTA317683","KAZ","wta","right-handed"
"Y.SHVEDOVA","WTA311137","KAZ","wta","right-handed"
"Y.WANG","WTA317510","CHN","wta","right-handed"
"Z.DIYAS","WTA315696","KAZ","wta","right-handed"
