year,player1,player2,player1_id,player1_country,player1_seed,player2_id,player2_country,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league
2019,K. NISHIKORI,J. TSONGA,13059,JPN,7,6291,FRA,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM056,roland_garros,atp
2019,D.THIEM,T.PAUL,26348,AUT,4,33541,USA,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM080,roland_garros,atp
2019,S.TSITSIPAS,M.MARTERER,35398,GRE,6,29682,GER,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM096,roland_garros,atp
2019,D.THIEM,A.BUBLIK,26348,AUT,4,29098,KAZ,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2019SM040,roland_garros,atp
2019,L.MAYER,R.FEDERER,12105,ARG,,2508,SUI,3,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM013,roland_garros,atp
2019,R.FEDERER,R.NADAL,2508,SUI,3,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM003,roland_garros,atp
2019,Y. MADEN,R. NADAL,17608,GER,,7792,ESP,2,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM063,roland_garros,atp
2019,D. THIEM,G. MONFILS,26348,AUT,4,9525,FRA,14,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2019SM010,roland_garros,atp
2019,D.THIEM,P.CUEVAS,26348,AUT,4,9767,URU,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM020,roland_garros,atp
2019,A.MANNARINO,G.MONFILS,13859,FRA,,9525,FRA,14,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2019SM043,roland_garros,atp
2019,N.JARRY,JM.DEL POTRO,32019,CHI,,11713,ARG,8,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2019SM095,roland_garros,atp
2019,E. MERTENS/A. SABALENKA,T. BABOS/K. MLADENOVIC,26448-33249,BEL-BLR,6,21766-19921,HUN-FRA,2,Court Suzanne-Lenglen,2,2,Women's Doubles,C,wta_roland_garros_2019DD003,roland_garros,wta
2019,Y. DUAN/S. ZHENG,T. BABOS/K. MLADENOVIC,17955-24352,CHN-CHN,,21766-19921,HUN-FRA,2,Court Philippe-Chatrier,1,2,Women's Doubles,C,wta_roland_garros_2019DD001,roland_garros,wta
2019,N.OSAKA,AK.SCHMIEDLOVA,30764,JPN,1,26485,SVK,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD064,roland_garros,wta
2019,M.VONDROUSOVA,P.MARTIC,36620,CZE,,17011,CRO,31,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD007,roland_garros,wta
2019,A.KERBER,A.POTAPOVA,11344,GER,5,38726,RUS,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD112,roland_garros,wta
2019,P.PARMENTIER,K.BERTENS,7184,FRA,,17861,NED,4,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD111,roland_garros,wta
2019,E.MERTENS,A.SEVASTOVA,26448,BEL,20,18348,LAT,12,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD029,roland_garros,wta
2019,S.STEPHENS,P.HERCOG,21500,USA,7,18049,SLO,,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD024,roland_garros,wta
2019,C.GARCIA,A.BLINKOVA,23726,FRA,24,33614,RUS,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD034,roland_garros,wta
2019,M.KEYS,A.BARTY,24265,USA,14,27902,AUS,8,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD004,roland_garros,wta
2019,S.KENIN,A.BARTY,35854,USA,,27902,AUS,8,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD009,roland_garros,wta
2019,A.PETKOVIC,A.BARTY,9046,GER,,27902,AUS,8,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD019,roland_garros,wta
2019,M.VONDROUSOVA,A.SEVASTOVA,36620,CZE,,18348,LAT,12,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD014,roland_garros,wta
2019,A.BARTY,A.ANISIMOVA,27902,AUS,8,40607,USA,,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD002,roland_garros,wta
2019,M.BRENGLE,Ka.PLISKOVA,14415,USA,,18274,CZE,2,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD127,roland_garros,wta
2019,E.RODINA,M.KEYS,13235,RUS,,24265,USA,14,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD071,roland_garros,wta
2019,S.STEPHENS,G.MUGURUZA,21500,USA,7,23872,ESP,19,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD012,roland_garros,wta
2019,N.OSAKA,V.AZARENKA,30764,JPN,1,12595,BLR,,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD032,roland_garros,wta
2019,B. BENCIC,L. SIEGEMUND,28865,SUI,15,9086,GER,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD052,roland_garros,wta
2019,P.MARTIC,Ka.PLISKOVA,17011,CRO,31,18274,CZE,2,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD031,roland_garros,wta
2019,S.WILLIAMS,V.DIATCHENKO,3370,USA,10,21248,RUS,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD072,roland_garros,wta
2019,A.BARTY,M.VONDROUSOVA,27902,AUS,8,36620,CZE,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD001,roland_garros,wta
2019,P. MARTIC,K. MLADENOVIC,17011,CRO,31,19921,FRA,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD062,roland_garros,wta
2019,S.HALEP,L.TSURENKO,18033,ROU,3,21519,UKR,27,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD020,roland_garros,wta
2019,S.CIRSTEA,K.JUVAN,14440,ROU,,40087,SLO,,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD095,roland_garros,wta
