point_ID,set_num,game_num,point_num,serve_num,strike_index,position,x,y,z
1_1_1_1,1,1,1,1,1,hit,-11.55,-1.063,2.872
1_1_1_1,1,1,1,1,1,net,0.0,0.738,1.046
1_1_1_1,1,1,1,1,1,bounce,4.83,1.577,0.031
1_1_1_1,1,1,1,1,1,peak,12.743,3.058,1.296
1_1_1_1,1,1,1,1,2,hit,12.743,3.058,1.296
1_1_1_1,1,1,1,1,2,net,0.0,2.003,4.17
1_1_1_1,1,1,1,1,2,peak,-1.949,1.841,4.238
1_1_1_1,1,1,1,1,2,bounce,-12.885,0.648,0.032
1_1_2_2,1,1,2,2,1,hit,11.431,-4.232,1.613
1_1_2_2,1,1,2,2,1,peak,3.695,-1.683,2.057
1_1_2_2,1,1,2,2,1,net,0.0,-0.594,1.937
1_1_2_2,1,1,2,2,1,bounce,-10.394,1.994,0.032
1_1_2_2,1,1,2,2,1,peak,-12.784,2.511,0.773
1_1_2_2,1,1,2,2,2,hit,-12.784,2.511,0.773
1_1_2_2,1,1,2,2,2,peak,-2.227,-0.136,2.211
1_1_2_2,1,1,2,2,2,net,-0.0,-0.705,2.133
1_1_2_2,1,1,2,2,2,bounce,8.712,-3.007,0.031
1_1_2_2,1,1,2,2,2,peak,11.79,-3.976,1.336
1_1_2_2,1,1,2,2,3,hit,11.79,-3.976,1.336
1_1_2_2,1,1,2,2,3,peak,4.897,-1.198,1.746
1_1_2_2,1,1,2,2,3,net,0.0,0.624,1.496
1_1_2_2,1,1,2,2,3,bounce,-7.296,3.147,0.03
1_1_2_2,1,1,2,2,3,peak,-12.182,4.795,0.979
1_1_2_2,1,1,2,2,4,hit,-13.623,5.266,0.89
1_1_2_2,1,1,2,2,4,peak,-3.565,2.174,1.537
1_1_2_2,1,1,2,2,4,net,-0.0,1.024,1.415
1_1_2_2,1,1,2,2,4,bounce,7.521,-1.532,0.028
1_1_2_2,1,1,2,2,4,peak,10.409,-2.601,0.623
1_1_2_2,1,1,2,2,5,hit,10.985,-2.82,0.596
1_1_2_2,1,1,2,2,5,peak,1.8,-2.616,1.307
1_1_2_2,1,1,2,2,5,net,0.0,-2.599,1.275
1_1_2_2,1,1,2,2,5,bounce,-9.114,-2.675,0.031
1_1_2_2,1,1,2,2,5,peak,-15.056,-2.807,0.997
1_1_2_2,1,1,2,2,6,hit,-15.056,-2.807,0.997
1_1_2_2,1,1,2,2,6,peak,-5.93,-1.603,1.841
1_1_2_2,1,1,2,2,6,net,-0.0,-0.775,1.371
1_1_2_2,1,1,2,2,6,bounce,5.179,-0.04,0.034
1_1_2_2,1,1,2,2,6,peak,10.301,0.527,1.271
1_1_2_2,1,1,2,2,7,hit,10.765,0.579,1.259
1_1_2_2,1,1,2,2,7,peak,6.309,-0.314,1.401
1_1_2_2,1,1,2,2,7,net,0.0,-1.562,1.082
1_1_2_2,1,1,2,2,7,bounce,-6.423,-2.788,0.032
1_1_2_2,1,1,2,2,7,peak,-12.098,-3.907,0.822
1_1_2_2,1,1,2,2,8,hit,-14.889,-4.456,0.61
1_1_2_2,1,1,2,2,8,peak,-1.408,-1.39,2.57
1_1_2_2,1,1,2,2,8,net,0.0,-1.065,2.541
1_1_2_2,1,1,2,2,8,bounce,10.461,1.342,0.035
1_1_2_2,1,1,2,2,8,peak,12.993,1.907,1.225
1_1_2_2,1,1,2,2,9,hit,12.993,1.907,1.225
1_1_2_2,1,1,2,2,9,peak,5.942,2.105,1.711
