point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPSC77,ATPL987,ATPSC77,DeuceCourt,193.87 KPH,NA,NA,-13.909,-1.942,1.269,0,Faulty Serve,NA,False,NA,ForeHand,1.31 Metre,NA,NA,False,False,True,,,,,,,,-13.909,-1.942,1.269,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPSC77,ATPL987,0,0,0,0
1_1_1_2,1,1,1,2,ATPSC77,ATPL987,ATPSC77,DeuceCourt,151.53 KPH,Kick,NA,11.278,0.881,2.942,5,Forced Error,NA,False,NA,ForeHand,2.69 Metre,NA,NA,False,False,True,-4.021,-1.061,0.041,T,,,,-13.195,-4.376,0.514,12.885,-3.652,0.03,-15.153,-2.878,1.799,-0.0,-0.664,1.64,5.59,-0.146,0.037,2684.04,0,0,0,0,0,0,0,0,ATPSC77,ATPL987,0,0,0,0
1_1_2_1,1,1,2,1,ATPSC77,ATPL987,ATPSC77,AdCourt,193.38 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.13 Metre,NA,Wide Error,False,False,True,-5.358,4.162,0.032,Wide,,,,,,,-5.358,4.162,0.032,,,,,,,,,,NA,1,0,0,0,0,0,1,0,ATPSC77,ATPL987,0,0,0,0
1_1_2_2,1,1,2,2,ATPSC77,ATPL987,ATPSC77,AdCourt,187.42 KPH,Pronated,NA,11.188,-1.123,2.86,2,Forced Error,NA,False,NA,ForeHand,0.88 Metre,NA,NA,False,False,True,-4.341,0.431,0.04,T,,,,-2.48,1.967,0.584,,,,-9.469,1.308,1.75,0.08,1.54,0.883,-0.216,1.601,0.032,1187.88,0,0,0,0,0,0,1,0,ATPSC77,ATPL987,0,0,0,0
1_1_3_1,1,1,3,1,ATPSC77,ATPL987,ATPL987,DeuceCourt,198.14 KPH,NA,NA,-18.457,-0.761,0.925,0,Faulty Serve,NA,False,NA,BackHand,1.38 Metre,NA,NA,False,False,True,,,,,,,,-18.457,-0.761,0.925,,,,,,,,,,,,,807.24,1,0,0,0,0,0,2,0,ATPSC77,ATPL987,0,0,0,0
1_1_3_2,1,1,3,2,ATPSC77,ATPL987,ATPL987,DeuceCourt,176.83 KPH,NA,NA,-15.324,-2.579,1.396,3,Forced Error,NA,False,NA,BackHand,0.07 Metre,NA,NA,False,False,True,,,,,1.424,0.0,-2.93,-0.048,-3.435,0.23,0.995,-3.931,0.03,,,,,,,,,,0,0,0,0,0,0,0,2,0,ATPSC77,ATPL987,0,0,0,0
1_1_4_1,1,1,4,1,ATPSC77,ATPL987,ATPSC77,AdCourt,199.6 KPH,Flat,NA,11.092,-0.992,2.806,4,Winner,NA,False,NA,BackHand,2.31 Metre,Down the Line,NA,False,False,True,-5.123,0.337,0.041,T,,,,-10.221,6.852,0.342,8.985,4.133,0.033,-14.834,0.959,1.245,0.0,-1.913,3.773,-4.568,2.674,0.03,853.02,0,0,0,0,0,0,2,1,ATPSC77,ATPL987,0,0,0,0
1_1_5_1,1,1,5,1,ATPSC77,ATPL987,ATPL987,DeuceCourt,189.82 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.24 Metre,NA,NA,False,False,True,-6.86,-4.621,0.037,Wide,,,,,,,-6.86,-4.621,0.037,,,,,,,,,,NA,1,0,0,0,0,0,3,1,ATPSC77,ATPL987,0,0,0,0
1_1_5_2,1,1,5,2,ATPSC77,ATPL987,ATPL987,DeuceCourt,171.53 KPH,NA,NA,,,,5,Unforced Error,NA,False,NA,BackHand,1.92 Metre,NA,Long Error,False,False,True,-5.167,-2.093,0.042,Body,,,,-14.714,1.57,0.788,,,,12.496,0.398,0.911,0.0,1.352,1.603,10.91,0.1,0.031,NA,0,0,0,0,0,0,3,1,ATPSC77,ATPL987,0,0,0,0
1_1_6_1,1,1,6,1,ATPSC77,ATPL987,ATPL987,AdCourt,192.83 KPH,Flat,NA,11.138,-1.093,2.861,2,Forced Error,NA,False,NA,BackHand,1.72 Metre,NA,NA,False,False,True,-4.983,3.418,0.031,Wide,,,,6.35,0.515,0.782,-12.587,3.201,0.026,-13.646,5.632,1.374,0.0,2.068,1.068,4.037,1.079,0.033,NA,0,0,0,0,0,0,3,2,ATPSC77,ATPL987,0,0,0,0
1_1_7_1,1,1,7,1,ATPSC77,ATPL987,ATPL987,DeuceCourt,169.94 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.3 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,3,ATPSC77,ATPL987,0,0,0,0
1_1_7_2,1,1,7,2,ATPSC77,ATPL987,ATPL987,DeuceCourt,169.94 KPH,NA,NA,-14.977,-5.521,1.615,5,Forced Error,NA,False,NA,BackHand,1.25 Metre,NA,NA,False,False,True,,,,,1.722,0.0,-1.38,-12.49,-0.518,1.017,7.523,-3.322,0.029,12.17,1.817,1.288,0.0,-0.182,1.477,-6.389,-1.027,0.041,2824.38,0,0,0,0,0,0,3,3,ATPSC77,ATPL987,0,0,0,0
1_1_8_1,1,1,8,1,ATPSC77,ATPL987,ATPSC77,AdCourt,180.46 KPH,Kick,NA,11.141,-1.343,2.818,3,Winner,NA,False,NA,BackHand,1.25 Metre,Down the Line,NA,True,False,True,-4.271,0.287,0.04,T,,,,5.556,0.368,1.024,-2.754,2.888,0.032,-14.184,1.083,1.564,0.0,0.307,1.193,3.3,0.277,0.032,NA,0,0,0,0,0,0,3,4,ATPSC77,ATPL987,0,0,0,0
1_1_9_1,1,1,9,1,ATPSC77,ATPL987,ATPSC77,DeuceCourt,201.85 KPH,NA,NA,-14.067,-3.318,0.792,0,Faulty Serve,NA,False,NA,BackHand,1.19 Metre,NA,NA,False,False,True,,,,,,,,-14.067,-3.318,0.792,,,,,,,,,,,,,1307.82,1,0,0,0,0,0,4,4,ATPSC77,ATPL987,0,0,0,0
1_1_9_2,1,1,9,2,ATPSC77,ATPL987,ATPSC77,DeuceCourt,162.53 KPH,Kick,NA,11.126,0.779,2.787,3,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,True,-4.784,-0.759,0.04,T,,,,-13.0,3.894,0.501,12.885,2.1,0.026,-15.441,-2.188,1.621,0.0,-1.618,2.426,-6.823,2.028,0.036,1413.6,0,0,0,0,0,0,4,4,ATPSC77,ATPL987,0,0,0,0
1_1_10_1,1,1,10,1,ATPSC77,ATPL987,ATPSC77,AdCourt,201.54 KPH,Flat,NA,11.006,-1.164,2.803,1,Forced Error,NA,False,NA,ForeHand,2.97 Metre,NA,NA,False,False,True,-5.285,0.482,0.04,T,,,,-14.557,1.257,1.337,12.885,0.222,0.031,-14.557,1.257,1.337,-0.0,0.737,2.972,12.885,0.222,0.031,1354.02,0,0,0,0,0,0,5,4,ATPSC77,ATPL987,0,0,0,0
1_2_1_1,1,2,1,1,ATPL987,ATPSC77,ATPL987,DeuceCourt,184.68 KPH,Slice,NA,11.456,0.886,2.755,2,Forced Error,NA,False,NA,BackHand,1.83 Metre,NA,NA,False,False,True,-4.827,-1.64,0.042,Body,,,,13.582,-1.964,0.747,-11.832,2.921,0.026,-12.957,-3.295,1.242,-0.0,-2.891,2.828,12.405,-2.033,0.034,1536.66,0,0,0,0,0,0,0,0,ATPSC77,ATPL987,1,0,0,0
