point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,31976,9801,,DeuceCourt,215.81 KPH,Flat,1.65 Metre,-11.467,-0.679,2.982,0,Faulty Serve,NA,False,NA,BackHand,1.78 Metre,Down the Line,NA,False,False,True,-8.047,2.14,0.042,Body,1.125,0.0,1.031,15.425,2.217,1.612,-8.047,2.14,0.042,11.658,3.433,1.73,0.0,0.098,1.709,-7.705,-1.935,0.043,2066.93,1,0,0,0,0,0,0,0,31976,9801,0,0,0,0
1_1_1_2,1,1,1,2,31976,9801,9801,DeuceCourt,151 KPH,Flat,NA,-11.467,-0.679,2.982,10,Unforced Error,NA,False,Ground,ForeHand,1.78 Metre,NA,NA,False,False,True,3.954,1.954,0.034,Body,1.125,0.0,1.031,15.425,2.217,1.612,-8.047,2.14,0.042,11.658,3.433,1.73,0.0,0.098,1.709,-7.705,-1.935,0.043,2066.93,0,0,0,0,0,0,0,0,31976,9801,0,0,0,0
1_1_2_1,1,1,2,1,31976,9801,31976,AdCourt,194 KPH,Pronated,NA,-11.179,1.221,2.925,1,Forced Error,NA,True,NA,ForeHand,0.78 Metre,NA,NA,False,False,True,4.909,-0.244,0.038,T,1.076,0.0,0.105,14.374,-0.701,1.542,4.909,-0.244,0.038,,,,,,,,,,1913.25,0,0,0,0,0,0,0,1,31976,9801,0,0,0,0
1_1_3_1,1,1,3,1,31976,9801,9801,DeuceCourt,182 KPH,Pronated,NA,-11.19,-0.982,2.915,10,Winner,NA,False,Ground,BackHand,1.44 Metre,Cross Court,NA,False,False,True,5.117,3.441,0.039,Wide,1.202,0.0,1.862,7.054,-2.367,0.684,-10.263,3.762,0.037,13.376,6.094,1.575,0.0,1.464,1.146,-2.961,0.418,0.045,2506.37,0,0,0,0,0,0,1,1,31976,9801,0,0,0,0
1_1_4_1,1,1,4,1,31976,9801,9801,AdCourt,207.52 KPH,Kick,0.54 Metre,-11.126,1.321,2.844,0,Faulty Serve,NA,False,NA,BackHand,0.98 Metre,Down the Line,NA,False,False,True,4.18,0.535,0.035,T,0.976,0.0,0.669,-11.126,1.321,2.844,4.18,0.535,0.035,,,,,,,,,,0,1,0,0,0,0,0,1,2,31976,9801,0,0,0,0
1_1_4_2,1,1,4,2,31976,9801,9801,AdCourt,146 KPH,Pronated,NA,-11.289,1.784,2.87,20,Winner,NA,False,Approach,ForeHand,1.42 Metre,Cross Court,NA,False,False,True,5.99,-2.125,0.034,Body,1.485,0.0,-1.076,6.366,1.996,1.071,-10.205,-3.323,0.03,11.791,-3.314,1.421,0.0,-1.85,2.125,-11.041,-1.036,0.039,929.91,0,0,0,0,0,0,1,2,31976,9801,0,0,0,0
1_1_5_1,1,1,5,1,31976,9801,9801,DeuceCourt,221.45 KPH,Pronated,5.01 Metre,-11.182,-0.945,2.881,0,Faulty Serve,NA,True,NA,BackHand,0.76 Metre,NA,NA,True,False,True,4.396,2.395,0.038,Body,1.256,0.0,-0.113,14.59,1.149,1.252,4.396,2.395,0.038,14.59,1.149,1.252,0.0,3.04,0.755,4.396,2.395,0.038,NA,1,0,0,0,0,0,1,3,31976,9801,0,0,0,0
1_1_5_2,1,1,5,2,31976,9801,9801,DeuceCourt,164 KPH,Slice,NA,-11.365,-0.503,2.897,6,Unforced Error,NA,False,Ground,ForeHand,2.19 Metre,NA,Long Error,True,True,True,5.633,2.236,0.041,Body,1.394,0.0,1.061,-13.264,-2.277,0.336,12.134,-0.373,0.036,11.773,3.43,1.397,0.0,2.819,1.156,-5.548,2.657,0.043,2831.96,0,0,0,0,0,0,1,3,31976,9801,0,0,0,0
1_2_1_1,1,2,1,1,9801,31976,9801,DeuceCourt,196 KPH,Flat,NA,-11.418,-0.823,2.876,1,Ace,NA,False,NA,ForeHand,1.13 Metre,Down the Line,NA,False,False,True,5.507,-0.018,0.041,T,1.134,0.0,-0.319,-11.418,-0.823,2.876,5.507,-0.018,0.041,,,,,,,,,,0,0,0,0,1,0,0,0,0,31976,9801,0,1,0,0
1_2_2_1,1,2,2,1,9801,31976,9801,AdCourt,187.87 KPH,Unclassified,0.24 Metre,-11.347,0.875,2.941,0,Faulty Serve,NA,True,NA,BackHand,1.13 Metre,NA,NA,False,False,True,-0.239,-3.622,0.033,Wide,,,,-11.347,0.875,2.941,-0.239,-3.622,0.033,,,,,,,,,,0,1,0,0,0,0,1,1,0,31976,9801,0,1,0,0
