point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_10_5_1,2,10,5,1,11073,21500,21500,DeuceCourt,153.16 KPH,Slice,0.85 Metre,-11.566,-1.301,2.61299992,0,Faulty Serve,Long Error,False,NA,ForeHand,1.43 Metre,NA,NA,False,False,True,7.24900007,2.53699994,0.0299999993,Body,1.43499994,-0.0,0.936999977,-11.566,-1.301,2.61299992,7.24900007,2.53699994,0.0299999993,,,,,,,,,,NA,1,0,0,0,0,0,2,2
2_10_5_2,2,10,5,2,11073,21500,21500,DeuceCourt,128 KPH,Kick,NA,-11.7329998,-0.947000027,2.59100008,12,Unforced Error,NA,True,Volley,ForeHand,0.96 Metre,NA,Net Error,False,False,True,5.54099989,1.78100002,0.0350000001,Body,,,,,,,,,,11.9460001,2.9519999,1.54400003,0.0,1.31299996,1.26199996,-7.23099995,0.405000001,0.0370000005,1515.3,0,0,0,0,0,0,2,2
2_10_6_1,2,10,6,1,11073,21500,21500,AdCourt,151 KPH,Flat,NA,-11.5159998,1.08099997,2.6400001,6,Winner,NA,False,Volley,BackHand,1.74 Metre,Down the Line,NA,True,True,True,5.93900013,-3.76799989,0.0299999993,Wide,1.26600003,-0.0,-2.18300009,4.19299984,-1.47300005,1.62300003,-9.48600006,-3.92600012,0.0289999992,13.0209999,-5.68900013,1.20799994,0.0,-4.26200008,2.78200006,-10.6750002,-3.70499992,0.0299999993,NA,0,0,0,0,0,0,2,3
2_11_1_1,2,11,1,1,21500,11073,21500,DeuceCourt,154 KPH,Slice,NA,11.309,1.20000005,2.55999994,7,Unforced Error,NA,True,Ground,ForeHand,0.68 Metre,NA,Net Error,False,False,True,-4.96299982,-3.0539999,0.0359999985,Wide,,,,-12.8629999,-1.24899995,1.227,-0.384000003,-1.44400001,0.0469999984,-11.4919996,-5.01200008,1.19400001,0.0,-1.73300004,1.48699999,8.52999973,0.519999981,0.0480000004,2102.1,0,0,0,0,0,0,0,0
2_11_2_1,2,11,2,1,21500,11073,21500,AdCourt,125 KPH,NA,NA,11.085,-1.14400005,0.939999998,3,Forced Error,NA,False,Ground,ForeHand,2.25 Metre,NA,NA,False,False,True,11.7659998,-1.14400005,0.0439999998,T,,,,-11.1789999,5.78999996,1.43099999,7.77400017,-1.60699999,0.0410000011,11.7950001,-1.32500005,1.14900005,-0.0,1.59800005,2.25300002,11.7659998,-1.14400005,0.0439999998,1995.12,0,0,0,0,0,0,1,0
2_11_3_1,2,11,3,1,21500,11073,21500,DeuceCourt,151 KPH,Flat,NA,11.5310001,1.11600006,2.52800012,3,Winner,NA,False,Ground,BackHand,1.61 Metre,Cross Court,NA,False,False,True,-4.92600012,-1.62,0.0320000015,Body,,,,10.5059996,-1.95299995,0.786000013,-8.45199966,2.97000003,0.0309999995,-11.7749996,-2.9849999,1.45899999,-0.0,-2.19899988,1.75800002,7.28800011,-1.88100004,0.0399999991,2676.78,0,0,0,0,0,0,2,0
2_11_4_1,2,11,4,1,21500,11073,11073,AdCourt,155 KPH,Slice,NA,11.3389997,-1.21599996,2.55100012,2,Forced Error,NA,False,Ground,BackHand,2.31 Metre,NA,NA,False,False,True,-4.64499998,0.405999988,0.0430000015,T,1.02199996,0.0,0.0649999976,12.802,-3.69300008,0.880999982,-12.885,0.407999992,0.0469999984,-12.3920002,0.904999971,1.20000005,0.0,-1.29400003,1.95500004,10.4630003,-3.32800007,0.0320000015,1558.5,0,0,0,0,0,0,3,0
2_11_5_1,2,11,5,1,21500,11073,11073,DeuceCourt,144.99 KPH,NA,NA,11.2930002,1.03199995,2.48000002,0,Faulty Serve,NA,False,NA,BackHand,0.94 Metre,NA,NA,False,False,True,,,,,,,,11.2930002,1.03199995,2.48000002,,,,,,,,,,,,,1432.86,1,0,0,0,0,0,3,1
2_11_5_2,2,11,5,2,21500,11073,11073,DeuceCourt,126 KPH,Pronated,NA,11.8129997,0.815999985,2.63499999,10,Unforced Error,NA,False,Ground,BackHand,2.06 Metre,NA,Long Error,False,False,True,-4.98000002,-0.921000004,0.0419999994,T,1.36899996,0.0,-0.151999995,13.5799999,-3.14499998,0.994000018,-11.9399996,0.744000018,0.0469999984,-10.3640003,-1.45799994,1.449,0.0,-1.40799999,1.32099998,7.40799999,-1.26300001,0.0410000011,1472.4,0,0,0,0,0,0,3,1
2_11_6_1,2,11,6,1,21500,11073,11073,AdCourt,164.92 KPH,Pronated,3.37 Metre,11.4890003,-0.879000008,2.56699991,0,Faulty Serve,Long Error,False,NA,ForeHand,0.96 Metre,NA,NA,False,False,True,-9.76599979,2.19199991,0.0350000001,Body,,,,11.4890003,-0.879000008,2.56699991,-9.76599979,2.19199991,0.0350000001,,,,,,,,,,NA,1,0,0,0,0,0,3,2
