point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,23726,26448,26448,DeuceCourt,163 KPH,Flat,NA,11.972,0.671,2.704,8,Winner,NA,False,Ground,ForeHand,1.73 Metre,Down the Line,NA,False,False,True,-4.959,-0.455,0.04,T,1.126,0.0,-0.025,-11.69,1.3,0.922,10.198,2.856,0.039,-13.423,-1.113,1.397,0.0,-0.903,4.079,11.632,-0.477,0.033,2932.15,0,0,0,0,0,0,0,0,23726,26448,0,0,0,0
1_1_2_1,1,1,2,1,23726,26448,23726,AdCourt,174 KPH,Flat,NA,11.404,-0.887,2.67,3,Winner,NA,False,Ground,ForeHand,1.41 Metre,Down the Line,NA,False,False,True,-4.865,0.861,0.04,T,1.009,0.0,0.396,12.217,0.92,1.851,-8.171,3.53,0.035,-12.906,1.518,1.024,0.0,1.37,3.311,8.024,1.061,0.043,1633.03,0,0,0,0,0,0,0,1,23726,26448,0,0,0,0
1_1_3_1,1,1,3,1,23726,26448,23726,DeuceCourt,173.28 KPH,Flat,0.18 Metre,11.881,0.761,2.77,0,Faulty Serve,Long Error,False,NA,BackHand,1.32 Metre,NA,NA,False,False,True,-6.582,-0.899,0.04,T,1.317,0.0,-0.177,11.881,0.761,2.77,-6.582,-0.899,0.04,,,,,,,,,,0,1,0,0,0,0,0,1,1,23726,26448,0,0,0,0
1_1_3_2,1,1,3,2,23726,26448,26448,DeuceCourt,147 KPH,Flat,NA,11.485,0.9,2.722,2,Unforced Error,NA,True,Ground,BackHand,0.91 Metre,NA,Net Error,False,False,True,-5.394,-1.023,0.04,T,1.296,0.0,-0.2,12.33,-3.107,0.778,0.221,1.108,0.045,-12.23,-2.028,1.332,0.0,-2.632,1.272,6.772,-2.935,0.032,1968.45,0,0,0,0,0,0,1,1,23726,26448,0,0,0,0
1_1_4_1,1,1,4,1,23726,26448,26448,AdCourt,172.65 KPH,NA,0.23 Metre,11.461,-1.056,2.689,0,Faulty Serve,NA,True,NA,ForeHand,0.91 Metre,NA,NA,False,False,True,0.227,2.429,0.028,Body,,,,11.461,-1.056,2.689,0.227,2.429,0.028,,,,,,,,,,0,1,0,0,0,0,0,1,2,23726,26448,0,0,0,0
1_1_4_2,1,1,4,2,23726,26448,23726,AdCourt,131 KPH,Pronated,NA,11.777,-1.455,2.707,9,Winner,NA,False,Ground,ForeHand,3.63 Metre,Down the Line,NA,False,False,True,-5.148,2.484,0.04,Body,1.402,0.0,1.513,,,,,,,-12.179,4.175,1.555,0.0,0.873,1.531,7.116,-0.912,0.037,2056.96,0,0,0,0,0,0,1,2,23726,26448,0,0,0,0
1_1_5_1,1,1,5,1,23726,26448,23726,DeuceCourt,176 KPH,Flat,NA,11.498,0.925,2.713,3,Winner,NA,False,Approach,ForeHand,1.59 Metre,Cross Court,NA,False,False,True,-4.476,-0.181,0.043,T,0.978,0.0,0.177,6.29,-2.915,2.424,-8.388,3.833,0.035,-13.953,-0.935,1.134,0.0,-1.769,6.514,5.461,-2.444,0.035,NA,0,0,0,0,0,0,2,2,23726,26448,0,0,0,0
1_1_6_1,1,1,6,1,23726,26448,23726,AdCourt,176 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Approach,BackHand,1.59 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,2,23726,26448,0,0,0,0
1_1_6_2,1,1,6,2,23726,26448,26448,AdCourt,146 KPH,Flat,NA,11.415,-1.035,2.681,2,Winner,NA,False,Ground,BackHand,1.07 Metre,Down the Line,NA,False,False,True,-4.868,3.196,0.032,Wide,1.236,0.0,2.092,-11.209,4.802,1.339,6.328,2.902,0.042,-11.209,4.802,1.339,0.0,3.545,1.069,6.328,2.902,0.042,984.42,0,0,0,0,0,0,3,2,23726,26448,0,0,0,0
1_1_7_1,1,1,7,1,23726,26448,26448,DeuceCourt,163 KPH,Flat,NA,11.961,0.665,2.774,4,Unforced Error,NA,True,Ground,BackHand,0.8 Metre,NA,Net Error,False,False,True,-5.786,-2.933,0.043,Wide,1.275,0.0,-1.596,11.724,-1.581,0.903,0.447,1.89,0.045,-13.692,-4.726,1.185,0.0,-2.675,1.535,7.167,-1.821,0.035,2318.54,0,0,0,0,0,0,3,3,23726,26448,0,0,0,0
1_1_8_1,1,1,8,1,23726,26448,26448,AdCourt,174.24 KPH,Slice,0.26 Metre,11.538,-1.046,2.712,0,Faulty Serve,Wide Error,False,NA,BackHand,1.2 Metre,NA,NA,True,False,True,-5.777,-0.259,0.038,T,1.201,0.0,-0.404,11.538,-1.046,2.712,-5.777,-0.259,0.038,,,,,,,,,,0,1,0,0,0,0,0,3,4,23726,26448,0,0,0,0
1_1_8_2,1,1,8,2,23726,26448,26448,AdCourt,145 KPH,Flat,NA,11.825,-1.185,2.784,2,Unforced Error,NA,True,Ground,BackHand,0.91 Metre,NA,Net Error,True,True,True,-5.61,1.817,0.038,Body,1.355,0.0,1.057,13.135,-2.923,1.175,0.214,-1.522,0.045,-13.183,2.871,1.433,0.0,0.28,1.85,7.649,-1.599,0.037,1192.12,0,0,0,0,0,0,3,4,23726,26448,0,0,0,0
1_2_1_1,1,2,1,1,26448,23726,23726,DeuceCourt,159 KPH,Slice,NA,11.515,1.352,2.747,4,Unforced Error,NA,True,Ground,BackHand,0.91 Metre,NA,Net Error,False,False,True,-4.742,-1.654,0.042,Body,1.071,0.0,-0.658,12.495,-3.367,0.793,0.327,-3.61,0.033,-11.289,-3.103,1.137,0.0,-1.486,1.661,7.206,-0.709,0.038,1503.92,0,0,0,0,0,0,0,0,23726,26448,0,1,0,0
