point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPD643,ATPFB98,ATPFB98,DeuceCourt,154 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.32 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPD643,ATPFB98,0,0,0,0
1_1_1_2,1,1,1,2,ATPD643,ATPFB98,ATPFB98,DeuceCourt,154 KPH,NA,NA,11.176,5.35,1.333,2,Winner,NA,False,Ground,ForeHand,1.24 Metre,Down the Line,NA,False,False,True,,,,,1.244,0.0,4.396,11.176,5.35,1.333,-7.177,3.937,0.031,,,,,,,,,,1414.02,0,0,0,0,0,0,0,0,ATPD643,ATPFB98,0,0,0,0
1_1_2_1,1,1,2,1,ATPD643,ATPFB98,ATPFB98,AdCourt,200 KPH,Flat,NA,-11.242,0.645,2.818,6,Unforced Error,NA,True,Ground,BackHand,0.95 Metre,NA,Net Error,False,False,True,6.009,-3.427,0.03,Wide,1.189,-0.0,-2.053,-7.447,3.001,1.366,-0.252,3.256,0.033,12.273,-4.792,1.042,0.0,0.021,1.609,-8.019,3.311,0.032,2237.4,0,0,0,0,0,0,0,1,ATPD643,ATPFB98,0,0,0,0
1_1_3_1,1,1,3,1,ATPD643,ATPFB98,ATPD643,DeuceCourt,195 KPH,Slice,NA,-11.213,-0.873,2.823,1,Forced Error,NA,False,NA,BackHand,1.1 Metre,NA,NA,False,False,True,5.222,0.557,0.036,T,1.103,-0.0,0.028,,,,,,,,,,,,,,,,NA,0,0,0,0,0,0,0,2,ATPD643,ATPFB98,0,0,0,0
1_1_4_1,1,1,4,1,ATPD643,ATPFB98,ATPD643,AdCourt,186 KPH,Slice,NA,-11.206,0.55,2.815,5,Unforced Error,NA,False,Ground,BackHand,1.91 Metre,NA,Long Error,False,False,True,5.579,-0.476,0.036,T,,,,12.842,-3.86,1.067,-12.512,1.895,0.033,12.986,-0.598,1.188,0.02,1.249,0.969,-6.561,2.16,0.032,1369.86,0,0,0,0,0,0,1,2,ATPD643,ATPFB98,0,0,0,0
1_1_5_1,1,1,5,1,ATPD643,ATPFB98,ATPFB98,DeuceCourt,171 KPH,Slice,NA,-11.207,-0.936,2.828,6,Unforced Error,NA,False,Ground,ForeHand,2.53 Metre,NA,Long Error,False,False,True,4.191,2.767,0.035,Wide,,,,-13.848,-0.284,0.948,12.149,-2.647,0.03,11.728,4.967,1.457,0.0,1.84,1.229,-6.654,0.159,0.032,2610.36,0,0,0,0,0,0,2,2,ATPD643,ATPFB98,0,0,0,0
1_1_6_1,1,1,6,1,ATPD643,ATPFB98,ATPD643,AdCourt,185 KPH,Slice,NA,-11.297,0.507,2.896,1,Forced Error,NA,False,NA,ForeHand,3.93 Metre,NA,NA,True,False,True,4.668,-0.47,0.035,T,1.035,-0.0,-0.297,13.21,-0.486,1.315,-12.885,3.431,0.034,13.21,-0.486,1.315,0.0,1.295,3.927,-12.885,3.431,0.034,1681.68,0,0,0,0,0,0,2,3,ATPD643,ATPFB98,0,0,0,0
1_1_7_1,1,1,7,1,ATPD643,ATPFB98,ATPD643,DeuceCourt,139 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.02 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1537.2,1,0,0,0,0,0,3,3,ATPD643,ATPFB98,0,0,0,0
1_1_7_2,1,1,7,2,ATPD643,ATPFB98,ATPD643,DeuceCourt,139 KPH,Pronated,NA,-11.225,-0.493,2.778,1,Unforced Error,NA,False,NA,BackHand,2.71 Metre,NA,Long Error,False,False,True,3.588,0.784,0.034,T,1.016,0.0,0.323,12.042,1.449,1.833,-12.068,-0.914,0.032,12.042,1.449,1.833,0.0,0.464,2.713,-12.068,-0.914,0.032,1038.78,0,0,0,0,0,0,3,3,ATPD643,ATPFB98,0,0,0,0
1_1_8_1,1,1,8,1,ATPD643,ATPFB98,ATPD643,AdCourt,194.05 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.27 Metre,NA,NA,False,False,True,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,4,3,ATPD643,ATPFB98,0,0,0,0
1_1_8_2,1,1,8,2,ATPD643,ATPFB98,ATPD643,AdCourt,188 KPH,Slice,NA,-11.24,0.754,2.816,13,Forced Error,NA,True,Passing,ForeHand,0.18 Metre,NA,NA,False,False,True,4.96,-1.063,0.036,T,,,,4.57,1.819,1.659,-0.137,1.863,0.035,11.549,-1.561,1.23,0.0,1.172,0.992,-4.083,2.196,0.03,NA,0,0,0,0,0,0,4,3,ATPD643,ATPFB98,0,0,0,0
1_2_1_1,1,2,1,1,ATPFB98,ATPD643,ATPD643,DeuceCourt,175 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.18 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPD643,ATPFB98,1,0,0,0
1_2_1_2,1,2,1,2,ATPFB98,ATPD643,ATPD643,DeuceCourt,175 KPH,Slice,NA,-11.475,-0.739,2.956,10,Unforced Error,NA,False,Ground,ForeHand,2.42 Metre,NA,Long Error,False,False,True,5.128,1.651,0.034,Body,,,,-12.894,-2.992,0.684,12.885,4.413,0.032,11.593,2.982,1.186,0.0,1.79,1.579,-7.841,0.822,0.031,2664.72,0,0,0,0,0,0,0,0,ATPD643,ATPFB98,1,0,0,0
