point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,25481,26348,25481,DeuceCourt,191 KPH,Flat,NA,11.405,1.029,2.897,1,Forced Error,NA,False,Ground,BackHand,1.7 Metre,NA,NA,False,False,True,-4.609,-1.637,0.039,Body,1.043,0.0,-0.786,-13.276,-3.192,1.209,4.198,-4.615,0.035,-13.276,-3.192,1.209,0.0,-5.29,1.697,4.198,-4.615,0.035,1370.49,0,0,0,0,0,0,0,0,25481,26348,0,0,0,0
1_1_2_1,1,1,2,1,25481,26348,25481,AdCourt,219.92 KPH,Flat,0.66 Metre,11.384,-1.123,2.856,0,Faulty Serve,Long Error,False,NA,ForeHand,1.33 Metre,NA,Wide Error,False,False,True,-6.816,4.625,0.035,Wide,1.33,0.0,2.525,11.384,-1.123,2.856,-6.816,4.625,0.035,,,,,,,,,,0,1,0,0,0,0,0,1,0,25481,26348,0,0,0,0
1_1_2_2,1,1,2,2,25481,26348,26348,AdCourt,156 KPH,Flat,NA,11.476,-1.157,2.846,4,Unforced Error,NA,False,Ground,ForeHand,1.31 Metre,NA,Wide Error,False,False,True,-6.042,3.381,0.038,Wide,1.451,0.0,2.085,13.007,-1.828,1.176,-6.706,-4.298,0.033,-17.446,6.28,1.163,0.0,1.199,2.323,8.258,-0.713,0.04,NA,0,0,0,0,0,0,1,0,25481,26348,0,0,0,0
1_1_3_1,1,1,3,1,25481,26348,25481,DeuceCourt,111 KPH,Flat,NA,11.534,0.664,2.879,3,Forced Error,NA,False,Ground,BackHand,3.34 Metre,NA,NA,False,False,True,-4.815,-0.399,0.039,T,1.045,0.0,-0.035,-15.578,3.791,0.757,12.088,-1.503,0.036,-13.426,-1.068,1.377,0.0,-1.682,2.276,8.167,-2.378,0.031,NA,0,0,0,0,0,0,1,1,25481,26348,0,0,0,0
1_1_4_1,1,1,4,1,25481,26348,25481,AdCourt,217.18 KPH,Flat,0.47 Metre,11.489,-0.955,2.891,0,Faulty Serve,Wide Error,False,NA,BackHand,1.22 Metre,NA,Wide Error,False,False,True,-6.244,4.584,0.035,Wide,1.221,0.0,2.674,11.489,-0.955,2.891,-6.244,4.584,0.035,,,,,,,,,,0,1,0,0,0,0,0,2,1,25481,26348,0,0,0,0
1_1_4_2,1,1,4,2,25481,26348,26348,AdCourt,155 KPH,Flat,NA,11.423,-1.285,2.831,4,Winner,NA,False,Passing,BackHand,1.36 Metre,Down the Line,NA,False,False,True,-4.847,3.059,0.034,Wide,1.235,0.0,1.98,-5.835,3.647,0.947,8.793,3.84,0.035,-17.315,6.111,1.011,0.0,-0.882,1.157,4.157,-2.377,0.036,2378.15,0,0,0,0,0,0,2,1,25481,26348,0,0,0,0
1_1_5_1,1,1,5,1,25481,26348,25481,DeuceCourt,197 KPH,Flat,NA,11.494,0.763,2.865,3,Winner,NA,False,Ground,ForeHand,1.17 Metre,Cross Court,NA,False,False,True,-6.286,-0.359,0.037,T,1.295,0.0,0.135,11.376,-0.596,1.069,-7.005,3.256,0.039,-18.278,-1.472,1.29,0.0,-0.737,2.767,9.196,-0.446,0.039,3991.18,0,0,0,0,0,0,2,2,25481,26348,0,0,0,0
1_1_6_1,1,1,6,1,25481,26348,26348,AdCourt,143 KPH,Flat,NA,11.526,-2.003,2.85,6,Winner,NA,False,Ground,ForeHand,1.22 Metre,Cross Court,NA,False,False,True,-5.162,3.875,0.035,Wide,1.331,0.0,2.283,-9.088,2.888,0.507,8.183,-2.855,0.031,-16.642,7.677,1.196,0.0,0.883,2.21,9.951,-2.71,0.03,3867.6,0,0,0,0,0,0,3,2,25481,26348,0,0,0,0
1_1_7_1,1,1,7,1,25481,26348,26348,DeuceCourt,192 KPH,Pronated,NA,11.463,0.915,2.87,2,Unforced Error,NA,False,Ground,ForeHand,2.25 Metre,NA,Long Error,False,False,True,-4.761,-2.788,0.042,Wide,1.087,0.0,-1.616,11.705,1.319,0.644,-12.1,3.52,0.027,-13.044,-4.635,1.251,0.0,-1.489,1.171,5.328,-0.191,0.047,3473.25,0,0,0,0,0,0,3,3,25481,26348,0,0,0,0
1_1_8_1,1,1,8,1,25481,26348,26348,AdCourt,103 KPH,Slice,NA,11.429,-1.275,2.865,2,Unforced Error,NA,True,Ground,ForeHand,0.88 Metre,NA,Net Error,True,True,True,-5.647,3.327,0.035,Wide,1.138,0.0,1.927,13.268,-3.118,1.106,0.164,1.267,0.044,-12.77,4.916,1.139,0.0,1.308,2.846,11.197,-2.296,0.033,NA,0,0,0,0,0,0,3,4,25481,26348,0,0,0,0
1_2_1_1,1,2,1,1,26348,25481,25481,DeuceCourt,172 KPH,Pronated,NA,11.5,0.236,2.834,2,Unforced Error,NA,False,Ground,ForeHand,1.61 Metre,NA,Wide Error,False,False,True,-4.096,-1.387,0.04,Body,1.01,0.0,-0.845,11.34,-0.394,0.675,-8.683,-4.144,0.032,-13.388,-2.288,1.65,0.0,-1.648,1.4,5.458,-1.048,0.04,3841.2,0,0,0,0,0,0,0,0,25481,26348,0,1,0,0
1_2_2_1,1,2,2,1,26348,25481,25481,AdCourt,157.04 KPH,Pronated,0.29 Metre,11.508,-1.929,2.769,0,Faulty Serve,Wide Error,False,NA,BackHand,1.39 Metre,NA,Wide Error,False,False,True,-5.159,4.408,0.035,Wide,1.389,0.0,2.722,11.508,-1.929,2.769,-5.159,4.408,0.035,,,,,,,,,,0,1,0,0,0,0,0,0,1,25481,26348,0,1,0,0
1_2_2_2,1,2,2,2,26348,25481,26348,AdCourt,141 KPH,Flat,NA,11.318,-1.885,2.796,7,Forced Error,NA,False,Ground,BackHand,2.23 Metre,NA,NA,False,False,True,-5.076,3.105,0.034,Wide,1.268,0.0,1.824,-15.471,4.2,1.47,11.365,4.55,0.025,-16.951,6.44,1.236,0.0,3.549,2.05,8.458,2.635,0.034,1476.03,0,0,0,0,0,0,0,1,25481,26348,0,1,0,0
