point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA312469,WTA323027,WTA312469,DeuceCourt,157 KPH,NA,NA,-11.401,-1.335,2.58,1,Forced Error,NA,True,NA,BackHand,0.97 Metre,NA,NA,False,False,True,4.744,2.951,0.035,Wide,,,,6.082,3.954,1.337,1.019,2.135,0.034,6.082,3.954,1.337,-0.005,2.883,0.969,1.019,2.135,0.034,1195.56,0,0,0,0,0,0,0,0,WTA312469,WTA323027,0,0,0,0
1_1_2_1,1,1,2,1,WTA312469,WTA323027,WTA312469,AdCourt,158 KPH,Flat,NA,-11.431,0.771,2.61,3,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,True,5.832,-0.284,0.03,T,,,,13.92,5.087,1.139,-12.009,0.511,0.034,11.909,-0.493,1.102,0.0,-0.203,3.635,-10.465,-0.483,0.033,0,0,0,0,0,0,0,1,0,WTA312469,WTA323027,0,0,0,0
1_1_3_1,1,1,3,1,WTA312469,WTA323027,WTA312469,DeuceCourt,154 KPH,NA,NA,-11.354,-1.336,2.607,1,Forced Error,NA,False,NA,BackHand,0.86 Metre,NA,NA,False,False,True,4.61,3.167,0.035,Wide,1.044,0.0,1.79,7.267,4.894,1.268,,,,,,,,,,,,,877.92,0,0,0,0,0,0,2,0,WTA312469,WTA323027,0,0,0,0
1_1_4_1,1,1,4,1,WTA312469,WTA323027,WTA323027,AdCourt,157.64 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.1 Metre,NA,NA,False,False,True,5.253,0.232,0.031,T,,,,,,,5.253,0.232,0.031,,,,,,,,,,NA,1,0,0,0,0,0,3,0,WTA312469,WTA323027,0,0,0,0
1_1_4_2,1,1,4,2,WTA312469,WTA323027,WTA323027,AdCourt,136 KPH,Slice,NA,-11.706,1.214,2.642,4,Winner,NA,False,Ground,ForeHand,1.48 Metre,Down the Line,NA,False,False,True,6.128,-0.797,0.031,T,,,,12.152,-2.26,0.976,-10.568,-2.554,0.033,11.825,-1.11,1.361,0.0,1.495,1.062,-5.541,2.801,0.033,1884.6,0,0,0,0,0,0,3,0,WTA312469,WTA323027,0,0,0,0
1_1_5_1,1,1,5,1,WTA312469,WTA323027,WTA312469,DeuceCourt,156.07 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.47 Metre,NA,NA,False,False,True,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,1,WTA312469,WTA323027,0,0,0,0
1_1_5_2,1,1,5,2,WTA312469,WTA323027,WTA312469,DeuceCourt,148 KPH,Slice,NA,-11.473,-1.262,2.624,7,Winner,NA,False,Volley,BackHand,1.59 Metre,Cross Court,NA,False,False,True,5.01,3.393,0.034,Wide,,,,-6.358,2.154,1.697,10.105,-3.506,0.032,10.847,5.363,1.077,0.009,2.856,0.992,-8.133,0.358,0.032,1611.12,0,0,0,0,0,0,3,1,WTA312469,WTA323027,0,0,0,0
1_2_1_1,1,2,1,1,WTA323027,WTA312469,WTA312469,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,True,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0,WTA312469,WTA323027,1,0,0,0
1_2_1_2,1,2,1,2,WTA323027,WTA312469,WTA312469,DeuceCourt,NA,NA,NA,,,,0,DoubleFault,NA,False,NA,NA,NA,NA,NA,False,False,True,,,,,,,,,,,,,,,,,,,,,,,NA,1,1,0,0,0,0,0,0,WTA312469,WTA323027,1,0,0,0
1_2_2_1,1,2,2,1,WTA323027,WTA312469,WTA323027,AdCourt,138 KPH,Pronated,NA,-11.418,1.574,2.669,5,Unforced Error,NA,False,Ground,BackHand,1.75 Metre,NA,Wide Error,False,False,True,4.64,-2.289,0.033,Body,,,,14.154,-1.703,0.683,-8.203,-4.86,0.032,11.703,-4.657,1.188,0.0,-0.668,1.061,-5.618,1.161,0.033,1594.02,0,0,0,0,1,0,0,1,WTA312469,WTA323027,1,0,0,0
1_2_3_1,1,2,3,1,WTA323027,WTA312469,WTA323027,DeuceCourt,151.55 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,0.92 Metre,NA,NA,False,False,True,9.52,2.307,0.036,Body,,,,,,,9.52,2.307,0.036,,,,,,,,,,NA,1,0,0,0,0,0,1,1,WTA312469,WTA323027,1,0,0,0
