point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
5_1_3_1,5,1,3,1,27419,30350,30350,DeuceCourt,158 KPH,Slice,NA,-11.3520002,-2.04099989,2.97600007,4,Unforced Error,NA,False,Volley,BackHand,2.03 Metre,NA,NA,False,False,True,5.74599981,3.79699993,0.0340000018,Wide,,,,-4.40600014,-2.81500006,0.938000023,,,,13.4510002,6.80499983,1.33399999,0.0,2.86199999,1.45899999,-7.52199984,0.842000008,0.0390000008,NA,0,0,0,0,0,0,4,3
5_1_4_1,5,1,4,1,27419,30350,30350,AdCourt,199.53 KPH,NA,NA,-11.1700001,1.13999999,2.83200002,0,Faulty Serve,NA,False,NA,BackHand,0.86 Metre,NA,NA,True,False,True,,,,,0.856999993,0.0209999997,-0.569000006,-11.1700001,1.13999999,2.83200002,,,,,,,,,,,,,0,1,0,0,0,0,0,4,4
5_1_4_2,5,1,4,2,27419,30350,30350,AdCourt,119 KPH,Pronated,NA,-11.4429998,1.50199997,2.75699997,2,Winner,NA,False,Ground,BackHand,1.82 Metre,Down the Line,NA,True,True,True,3.53500009,-2.125,0.0390000008,Body,,,,12.2740002,-4.62799978,1.60500002,-11.5310001,-2.21300006,0.0289999992,12.2740002,-4.62799978,1.60500002,0.0,-3.12599993,1.81900001,-11.5310001,-2.21300006,0.0289999992,1401.72,0,0,0,0,0,0,4,4
5_2_1_1,5,2,1,1,30350,27419,30350,DeuceCourt,215 KPH,Kick,NA,-11.1529999,-0.876999974,2.96499991,1,Ace,NA,False,NA,ForeHand,1.05 Metre,Cross Court,NA,False,False,True,5.02899981,0.152999997,0.0410000011,T,1.04999995,-0.0,-0.194000006,-11.1529999,-0.876999974,2.96499991,5.02899981,0.152999997,0.0410000011,,,,,,,,,,0,0,0,0,1,0,0,0,0
5_2_2_1,5,2,2,1,30350,27419,30350,AdCourt,215 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.05 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0
5_2_2_2,5,2,2,2,30350,27419,30350,AdCourt,142 KPH,Pronated,NA,-11.3470001,0.66900003,3.00399995,1,Unforced Error,NA,False,Ground,BackHand,2.71 Metre,NA,Long Error,False,False,True,4.94500017,-2.98600006,0.0379999988,Wide,1.33399999,0.0,-2.08400011,10.7989998,-4.32299995,1.78499997,-12.885,0.0379999988,0.0329999998,10.7989998,-4.32299995,1.78499997,0.0,-2.08899999,2.70900011,-12.885,0.0379999988,0.0329999998,1330.92,0,0,0,0,0,0,1,0
5_2_3_1,5,2,3,1,30350,27419,30350,DeuceCourt,197.89 KPH,NA,NA,-11.2650003,-0.839999974,3.04200006,0,Faulty Serve,NA,True,NA,ForeHand,0.68 Metre,NA,NA,False,False,True,,,,,,,,-11.2650003,-0.839999974,3.04200006,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0
5_2_3_2,5,2,3,2,30350,27419,30350,DeuceCourt,171 KPH,Kick,NA,-11.2480001,-0.802999973,2.95700002,9,Forced Error,NA,True,Ground,ForeHand,1.45 Metre,NA,NA,False,False,True,3.97000003,1.05299997,0.0430000015,T,1.01999998,0.0,0.426999986,15.3450003,2.77699995,0.992999971,2.95799994,-0.723999977,0.0439999998,11.25,2.04099989,1.65900004,0.0,1.39900005,1.65600002,-7.62300014,0.778999984,0.0390000008,879.48,0,0,0,0,0,0,2,0
5_2_4_1,5,2,4,1,30350,27419,27419,AdCourt,203.24 KPH,NA,0.89 Metre,-11.2270002,0.66900003,2.98300004,0,Faulty Serve,Net Error,True,NA,ForeHand,0.73 Metre,NA,Net Error,False,False,True,-0.888000011,-3.77399993,0.0430000015,Wide,0.731000006,0.00899999961,-0.064000003,-11.2270002,0.66900003,2.98300004,-0.888000011,-3.77399993,0.0430000015,,,,,,,,,,NA,1,0,0,0,0,0,3,0
5_2_4_2,5,2,4,2,30350,27419,27419,AdCourt,160.12 KPH,NA,0.07 Metre,-11.3839998,0.694000006,2.99600005,0,DoubleFault,Net Error,True,NA,ForeHand,0.82 Metre,NA,Net Error,False,False,True,-0.0670000017,-2.83899999,0.0430000015,Wide,0.822000027,0.0160000008,-1.86600006,-11.3839998,0.694000006,2.99600005,-0.0670000017,-2.83899999,0.0430000015,,,,,,,,,,2113.62,1,1,0,0,0,0,3,0
5_2_5_1,5,2,5,1,30350,27419,30350,DeuceCourt,209 KPH,Flat,NA,-11.1590004,-1.10899997,2.97300005,3,Winner,NA,False,Ground,BackHand,1.28 Metre,Down the Line,NA,False,False,True,5.65500021,1.39699996,0.0439999998,Body,1.18200004,-0.0,0.492000014,-12.0600004,1.04799998,1.33700001,8.54599953,3.64299989,0.0370000005,13.6009998,2.75,1.31200004,0.0,1.94599998,1.80200005,-7.88100004,1.324,0.0390000008,1369.74,0,0,0,0,1,0,3,1
5_3_1_1,5,3,1,1,27419,30350,30350,DeuceCourt,195 KPH,Flat,NA,11.1949997,1.67400002,2.82200003,2,Unforced Error,NA,True,Ground,ForeHand,0.86 Metre,NA,Net Error,False,False,True,-6.38800001,-1.10099995,0.0350000001,T,,,,10.7209997,1.227,0.903999984,,,,-15.4510002,-2.82599998,1.17799997,0.0,-0.245000005,1.37,6.8499999,0.711000025,0.0469999984,2376.48,0,0,0,0,0,0,0,0
5_3_2_1,5,3,2,1,27419,30350,27419,AdCourt,174 KPH,Flat,NA,-15.1809998,1.19799995,1.273,3,Unforced Error,NA,False,Ground,ForeHand,2.66 Metre,NA,NA,False,False,True,7.69000006,0.811999977,0.0480000004,T,1.72099996,0.0,0.86500001,14.1389999,-1.33399999,0.967999995,-9.47799969,-1.66999996,0.0320000015,12.3120003,0.77700001,1.27400005,0.0,-0.94599998,1.69400001,-9.32299995,-2.29200006,0.0340000018,2605.8,0,0,0,0,0,0,0,1
5_3_3_1,5,3,3,1,27419,30350,27419,DeuceCourt,171 KPH,Slice,NA,11.2040005,1.75,2.75099993,5,Winner,NA,False,NA,ForeHand,1.1 Metre,Down the Line,NA,False,False,True,-4.74900007,-3.11100006,0.0419999994,Wide,1.05599999,0.0,-1.49899995,3.80800009,-1.97500002,0.182999998,-4.00699997,-0.291000009,0.0390000008,-13.6859999,-6.37599993,0.925000012,-0.0,-3.68000007,1.68799996,-9.78299999,2.22399998,0.0299999993,NA,0,0,0,0,0,0,1,1
5_3_4_1,5,3,4,1,27419,30350,27419,AdCourt,201.53 KPH,Flat,0.77 Metre,11.1490002,-1.15199995,2.83400011,0,Faulty Serve,Long Error,False,NA,ForeHand,1.35 Metre,NA,NA,False,False,True,-7.171,2.6170001,0.0390000008,Body,,,,11.1490002,-1.15199995,2.83400011,-7.171,2.6170001,0.0390000008,,,,,,,,,,NA,1,0,0,0,0,0,2,1
5_3_4_2,5,3,4,2,27419,30350,30350,AdCourt,128 KPH,Pronated,NA,11.3500004,-1.66799998,2.72600007,2,Winner,NA,False,Ground,ForeHand,1.43 Metre,Cross Court,NA,False,False,True,-3.648,2.12899995,0.0350000001,Body,1.10800004,0.0,1.37800002,-12.2440004,4.6880002,1.63999999,6.97800016,-2.81299996,0.0340000018,-12.2440004,4.6880002,1.63999999,-0.0,-0.184,1.426,6.97800016,-2.81299996,0.0340000018,1789.08,0,0,0,0,0,0,2,1
5_3_5_1,5,3,5,1,27419,30350,30350,DeuceCourt,166.38 KPH,Slice,1.49 Metre,11.2340002,1.84300005,2.773,0,Faulty Serve,Long Error,False,NA,ForeHand,1.58 Metre,NA,Wide Error,False,False,True,-7.66300011,-4.90700006,0.0340000018,Wide,,,,11.2340002,1.84300005,2.773,-7.66300011,-4.90700006,0.0340000018,,,,,,,,,,NA,1,0,0,0,0,0,2,2
5_3_5_2,5,3,5,2,27419,30350,30350,DeuceCourt,147 KPH,Flat,NA,11.3520002,1.90499997,3.00099993,6,Winner,NA,False,Ground,ForeHand,1.29 Metre,Cross Court,NA,False,False,True,-3.85400009,-1.08099997,0.0390000008,T,1.04700005,0.0,-0.167999998,-12.7589998,0.240999997,0.875,8.19099998,-3.48099995,0.0329999998,-13.5780001,-3.29299998,1.32200003,0.0,-1.68499994,1.75300002,8.9989996,-0.433999985,0.0430000015,3352.44,0,0,0,0,0,0,2,2
5_3_6_1,5,3,6,1,27419,30350,30350,AdCourt,205.71 KPH,Flat,0.05 Metre,11.2150002,-0.961000025,2.81800008,0,Faulty Serve,Long Error,False,NA,ForeHand,1.22 Metre,NA,NA,True,False,True,-6.44799995,3.26699996,0.0379999988,Wide,1.21700001,0.0,1.76100004,11.2150002,-0.961000025,2.81800008,-6.44799995,3.26699996,0.0379999988,,,,,,,,,,0,1,0,0,0,0,0,2,3
5_3_6_2,5,3,6,2,27419,30350,30350,AdCourt,130.6 KPH,Pronated,NA,11.3760004,-1.73800004,2.76099992,0,DoubleFault,Long Error,False,NA,BackHand,1.86 Metre,NA,NA,True,True,True,-6.61999989,3.56399989,0.0390000008,Wide,1.85800004,0.0,1.94299996,11.3760004,-1.73800004,2.76099992,-6.61999989,3.56399989,0.0390000008,,,,,,,,,,2169.54,1,1,0,0,0,0,2,3
5_4_1_1,5,4,1,1,30350,27419,30350,DeuceCourt,204 KPH,Flat,NA,11.1210003,0.685000002,2.96600008,1,Forced Error,NA,True,Ground,BackHand,1 Metre,NA,NA,False,False,True,-4.63000011,-0.384000003,0.0370000005,T,,,,-13.4860001,-1.09399998,1.30499995,-1.11600006,-0.244000003,0.0390000008,,,,,,,,,,NA,0,0,0,0,1,0,0,0
5_4_2_1,5,4,2,1,30350,27419,30350,AdCourt,203.09 KPH,Kick,0.06 Metre,11.1610003,-0.611999989,2.954,0,Faulty Serve,Wide Error,False,NA,ForeHand,1.08 Metre,NA,NA,False,False,True,-4.7670002,-0.0599999987,0.0370000005,T,,,,11.1610003,-0.611999989,2.954,-4.7670002,-0.0599999987,0.0370000005,,,,,,,,,,NA,1,0,0,0,0,0,1,0
5_4_2_2,5,4,2,2,30350,27419,27419,AdCourt,145 KPH,Pronated,NA,11.4680004,-0.828000009,3.00500011,6,Unforced Error,NA,True,Approach,ForeHand,1.01 Metre,NA,Net Error,False,False,True,-5.34700012,2.29999995,0.0390000008,Body,,,,5.38100004,3.95799994,0.52700001,0.665000021,4.63899994,0.0450000018,-11.1529999,3.56900001,1.65699995,-0.0,1.88900006,2.65799999,11.0799999,0.882000029,0.0390000008,2764.08,0,0,0,0,0,0,1,0
