point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_5_4_1,1,5,4,1,ATPFB98,ATPO522,ATPO522,AdCourt,183 KPH,Slice,NA,-11.314,0.91,2.883,2,Unforced Error,NA,True,Ground,ForeHand,0.82 Metre,NA,Net Error,False,False,True,5.418,-0.51,0.032,T,1.141,-0.0,-0.132,-3.657,-0.488,0.993,-0.241,-1.009,0.031,14.065,-0.922,1.27,0.0,-0.422,1.867,-10.758,0.19,0.033,1990.08,0,0,0,0,0,0,3,0
1_5_5_1,1,5,5,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,177 KPH,NA,NA,-11.302,-0.874,2.82,1,Ace,NA,False,NA,ForeHand,1.12 Metre,Cross Court,NA,False,False,True,4.907,3.798,0.034,Wide,1.12,-0.0,2.191,-11.302,-0.874,2.82,4.907,3.798,0.034,,,,,,,,,,NA,0,0,0,1,0,0,3,1
1_6_1_1,1,6,1,1,ATPO522,ATPFB98,ATPFB98,DeuceCourt,221 KPH,Flat,NA,-10.845,-1.211,3.04,2,Unforced Error,NA,True,Ground,ForeHand,0.84 Metre,NA,Net Error,False,False,True,4.762,0.273,0.035,T,,,,-5.319,-0.884,1.223,-0.327,-2.137,0.034,13.175,1.173,1.392,-0.0,0.528,1.242,-5.47,0.249,0.034,3378.96,0,0,0,0,0,1,0,0
1_6_2_1,1,6,2,1,ATPO522,ATPFB98,ATPFB98,AdCourt,218 KPH,Flat,NA,-10.941,0.262,3.033,2,Unforced Error,NA,False,Ground,ForeHand,2.27 Metre,NA,Long Error,False,False,True,5.609,-0.604,0.032,T,1.201,-0.0,-0.389,-11.951,-0.122,1.137,11.971,-3.448,0.033,13.31,-0.779,1.335,0.0,-0.38,2.166,-8.623,-0.182,0.032,3558.48,0,0,0,0,0,0,0,1
1_6_3_1,1,6,3,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,233.32 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.31 Metre,NA,NA,False,False,True,6.973,0.015,0.031,T,,,,,,,6.973,0.015,0.031,,,,,,,,,,0,1,0,0,0,0,0,0,2
1_6_3_2,1,6,3,2,ATPO522,ATPFB98,ATPO522,DeuceCourt,184 KPH,Flat,NA,-10.953,-0.634,3.101,3,Winner,NA,False,Approach,ForeHand,1.39 Metre,Down the Line,NA,False,False,True,5.291,1.783,0.031,Body,1.308,-0.0,0.834,-4.09,-4.926,1.543,11.364,-3.049,0.033,10.826,2.719,1.421,0.0,-2.56,1.397,-2.061,-3.762,0.033,959.16,0,0,0,0,0,0,0,2
1_6_4_1,1,6,4,1,ATPO522,ATPFB98,ATPFB98,AdCourt,182 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.3 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2170.44,1,0,0,0,0,0,1,2
1_6_4_2,1,6,4,2,ATPO522,ATPFB98,ATPFB98,AdCourt,182 KPH,NA,NA,11.012,-3.075,1.601,4,Unforced Error,NA,True,Ground,ForeHand,0.82 Metre,NA,Net Error,False,False,True,,,,,2.624,0.0,-2.172,-7.372,-3.298,1.59,-2.749,-4.615,0.035,-13.863,-2.128,1.435,-0.0,0.868,1.913,8.756,2.766,0.034,3125.64,0,0,0,0,0,0,1,2
1_6_5_1,1,6,5,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,193 KPH,Kick,NA,-11.014,-1.082,3.072,3,Winner,NA,False,Ground,ForeHand,1.6 Metre,Down the Line,NA,True,False,True,3.985,2.91,0.034,Wide,,,,-9.966,-2.562,0.934,9.699,-3.471,0.034,11.366,5.361,1.578,0.0,1.098,1.481,-5.472,-0.998,0.033,3664.32,0,0,0,0,0,0,1,3
1_6_6_1,1,6,6,1,ATPO522,ATPFB98,ATPO522,AdCourt,232 KPH,NA,NA,-10.914,0.116,3.079,1,Ace,NA,False,NA,ForeHand,1.27 Metre,Cross Court,NA,True,False,True,6.175,-3.414,0.027,Wide,1.272,-0.0,-2.125,-10.914,0.116,3.079,6.175,-3.414,0.027,,,,,,,,,,0,0,0,0,1,0,0,2,3
1_6_7_1,1,6,7,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,198 KPH,NA,NA,-10.87,-1.228,3.06,1,Ace,NA,False,NA,ForeHand,1.19 Metre,Cross Court,NA,False,False,True,4.816,3.531,0.034,Wide,1.185,-0.0,1.904,-10.87,-1.228,3.06,4.816,3.531,0.034,,,,,,,,,,NA,0,0,0,1,0,1,3,3
1_6_8_1,1,6,8,1,ATPO522,ATPFB98,ATPO522,AdCourt,211 KPH,NA,NA,-11.065,0.269,3.086,1,Ace,NA,False,NA,ForeHand,1.1 Metre,Cross Court,NA,False,False,True,4.682,-0.459,0.035,T,1.099,0.0,-0.334,-11.065,0.269,3.086,4.682,-0.459,0.035,,,,,,,,,,NA,0,0,0,1,0,1,4,3
1_7_1_1,1,7,1,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,194 KPH,Slice,NA,11.271,1.03,2.828,1,Forced Error,NA,True,NA,BackHand,0.68 Metre,NA,NA,False,False,True,-5.418,-1.677,0.032,Body,,,,-9.887,-2.842,1.267,-0.223,-2.194,0.034,-9.887,-2.842,1.267,-0.013,-2.146,0.683,-0.223,-2.194,0.034,928.92,0,0,0,0,0,1,0,0
1_7_2_1,1,7,2,1,ATPFB98,ATPO522,ATPFB98,AdCourt,188 KPH,NA,NA,11.321,-0.785,2.906,1,Forced Error,NA,True,NA,BackHand,0.49 Metre,NA,NA,False,False,True,-5.803,3.393,0.031,Wide,1.168,0.0,1.988,-8.654,3.254,1.415,-0.318,-0.852,0.031,-8.654,3.254,1.415,0.008,-0.269,0.488,-0.318,-0.852,0.031,1236.84,0,0,0,0,0,0,1,0
1_7_3_1,1,7,3,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,198 KPH,Flat,NA,11.322,1.016,2.883,1,Forced Error,NA,False,NA,BackHand,2.39 Metre,NA,NA,False,False,True,-5.076,-0.721,0.033,T,,,,-14.169,-1.795,1.391,12.885,-1.064,0.038,-14.169,-1.795,1.391,-0.0,-1.353,2.387,12.885,-1.064,0.038,1059.3,0,0,0,0,0,0,2,0
1_7_4_1,1,7,4,1,ATPFB98,ATPO522,ATPO522,AdCourt,191 KPH,Flat,NA,11.278,-0.854,2.935,4,Forced Error,NA,True,NA,ForeHand,0.55 Metre,NA,NA,False,False,True,-6.18,3.031,0.03,Wide,1.229,0.0,1.69,8.033,1.734,1.389,,,,-14.128,4.675,1.206,0.0,1.359,1.802,10.316,-1.239,0.037,NA,0,0,0,0,0,0,3,0
1_7_5_1,1,7,5,1,ATPFB98,ATPO522,ATPFB98,DeuceCourt,163 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.29 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,1
1_7_5_2,1,7,5,2,ATPFB98,ATPO522,ATPFB98,DeuceCourt,163 KPH,Kick,NA,11.403,0.72,2.961,1,Unforced Error,NA,True,NA,ForeHand,0.63 Metre,NA,Net Error,False,False,True,-5.376,-1.714,0.032,Body,,,,-14.231,-3.607,1.65,-0.407,-2.485,0.033,-14.231,-3.607,1.65,-0.008,-2.859,0.634,-0.407,-2.485,0.033,1029.78,0,0,0,0,0,0,3,1
