point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA319939,WTA319001,WTA319001,DeuceCourt,0 KPH,Slice,2.56 Metre,-11.632,-0.688,2.671,1,Faulty Serve,Long Error,False,NA,NA,1.71 Metre,NA,Wide Error,False,False,True,8.91,4.615,0.032,Wide,1.714,0.0,2.483,-11.632,-0.688,2.671,8.91,4.615,0.032,,,,,,,,,,0,1,0,0,0,0,0,0,0,WTA319939,WTA319001,0,0,0,0
1_1_1_2,1,1,1,2,WTA319939,WTA319001,WTA319001,DeuceCourt,136 KPH,Slice,NA,-11.607,-0.623,2.706,0,DoubleFault,NA,False,NA,BackHand,1.53 Metre,NA,NA,False,False,True,6.442,5.099,0.033,Wide,1.532,0.0,2.787,-11.607,-0.623,2.706,6.442,5.099,0.033,,,,,,,,,,0,1,1,0,0,0,0,0,0,WTA319939,WTA319001,0,0,0,0
1_1_2_1,1,1,2,1,WTA319939,WTA319001,,AdCourt,0 KPH,NA,0.24 Metre,-11.334,1.875,2.667,2,Faulty Serve,Wide Error,False,NA,BackHand,0.93 Metre,NA,Wide Error,False,False,True,-0.457,-4.351,0.036,Wide,0.934,0.0,-1.34,-11.334,1.875,2.667,-0.457,-4.351,0.036,,,,,,,,,,0,1,0,0,0,1,0,0,1,WTA319939,WTA319001,0,0,0,0
1_1_2_2,1,1,2,2,WTA319939,WTA319001,WTA319001,AdCourt,102 KPH,Flat,NA,-11.526,1.966,2.669,2,Forced Error,NA,True,Ground,BackHand,0.8 Metre,NA,NA,False,False,True,3.619,-1.237,0.031,T,1.223,0.0,-0.655,-13.148,2.003,0.846,-1.291,3.985,0.032,10.457,-2.681,1.479,0.0,-0.742,1.318,-8.051,0.928,0.033,1442.44,0,0,0,0,0,0,0,1,WTA319939,WTA319001,0,0,0,0
1_1_3_1,1,1,3,1,WTA319939,WTA319001,WTA319001,DeuceCourt,0 KPH,Flat,0.83 Metre,-11.454,-0.789,2.661,4,Faulty Serve,Long Error,False,NA,ForeHand,1.35 Metre,NA,NA,False,False,True,7.235,0.896,0.031,T,1.355,0.0,0.184,-11.454,-0.789,2.661,7.235,0.896,0.031,,,,,,,,,,0,1,0,0,0,0,0,0,2,WTA319939,WTA319001,0,0,0,0
1_1_3_2,1,1,3,2,WTA319939,WTA319001,WTA319001,DeuceCourt,134 KPH,Slice,NA,-11.652,-0.67,2.697,4,Forced Error,NA,False,Ground,ForeHand,1.07 Metre,NA,NA,False,False,True,4.334,1.473,0.031,Body,1.182,0.0,0.71,-13.413,-4.105,0.605,5.697,-4.472,0.033,10.984,2.646,1.4,0.0,0.822,1.372,-7.653,-0.543,0.029,1312.7,0,0,0,0,0,0,0,2,WTA319939,WTA319001,0,0,0,0
1_1_4_1,1,1,4,1,WTA319939,WTA319001,WTA319939,AdCourt,167 KPH,Flat,NA,-11.467,1.507,2.683,5,Winner,NA,False,Volley,ForeHand,0.96 Metre,Down the Line,NA,True,False,True,6.247,-0.202,0.029,T,1.211,0.0,0.339,-7.897,0.181,2.263,5.8,3.389,0.033,12.537,-0.682,0.94,0.0,2.025,1.325,-3.707,2.852,0.032,1521.06,0,0,0,0,0,0,0,3,WTA319939,WTA319001,0,0,0,0
1_1_5_1,1,1,5,1,WTA319939,WTA319001,WTA319001,DeuceCourt,157 KPH,Flat,NA,-11.634,-0.622,2.687,14,Unforced Error,NA,False,Ground,ForeHand,1.59 Metre,NA,Wide Error,True,True,True,4.683,3.799,0.035,Wide,1.059,0.0,2.452,-13.28,-2.378,1.01,9.935,-4.615,0.033,11.077,5.76,1.078,0.0,2.597,1.661,-9.342,0.073,0.034,1440.6,0,0,0,0,0,0,1,3,WTA319939,WTA319001,0,0,0,0
1_2_1_1,1,2,1,1,WTA319001,WTA319939,,DeuceCourt,0 KPH,NA,0.71 Metre,-8.192,3.347,0.034,1,Faulty Serve,Long Error,False,NA,BackHand,1.22 Metre,NA,Wide Error,False,False,True,-6.911,4.615,0.031,Wide,,,,11.617,2.845,1.153,-6.911,4.615,0.031,-11.467,-0.743,2.673,0.0,4.431,1.216,4.285,1.392,0.031,1771.31,1,0,0,0,0,0,0,0,WTA319939,WTA319001,0,1,0,0
1_2_1_2,1,2,1,2,WTA319001,WTA319939,WTA319001,DeuceCourt,153 KPH,NA,NA,-8.192,3.347,0.034,1,Unforced Error,NA,False,NA,BackHand,1.22 Metre,NA,Wide Error,False,False,True,-8.921,3.51,0.034,Wide,,,,11.617,2.845,1.153,-6.911,4.615,0.031,-11.467,-0.743,2.673,0.0,4.431,1.216,4.285,1.392,0.031,1771.31,0,0,0,0,0,0,0,0,WTA319939,WTA319001,0,1,0,0
1_2_2_1,1,2,2,1,WTA319001,WTA319939,WTA319001,AdCourt,153 KPH,Pronated,NA,-11.221,1.415,2.624,1,Ace,NA,False,NA,ForeHand,1.14 Metre,Cross Court,NA,False,False,True,5.434,-4.122,0.033,Wide,1.142,0.0,-2.305,-11.221,1.415,2.624,5.434,-4.122,0.033,,,,,,,,,,0,0,0,0,1,0,0,1,0,WTA319939,WTA319001,0,1,0,0
1_2_3_1,1,2,3,1,WTA319001,WTA319939,WTA319001,DeuceCourt,153 KPH,Slice,NA,-11.496,-0.8,2.592,9,Winner,NA,False,Approach,ForeHand,1.47 Metre,Down the Line,NA,False,False,True,4.803,3.485,0.034,Wide,1.091,0.0,2.093,-5.218,-4.029,0.756,9.318,-3.563,0.032,12.049,5.759,1.161,0.0,3.037,2.092,-10.703,0.464,0.034,1785.66,0,0,0,0,0,1,2,0,WTA319939,WTA319001,0,1,0,0
1_2_4_1,1,2,4,1,WTA319001,WTA319939,WTA319939,AdCourt,0 KPH,Pronated,0.28 Metre,-11.216,1.322,2.659,2,Faulty Serve,Long Error,False,NA,NA,2.71 Metre,NA,NA,False,False,True,6.681,-1.529,0.033,Body,1.26,0.0,-0.461,12.847,-2.517,0.934,6.681,-1.529,0.033,,,,,,,,,,1593.3,1,0,0,0,0,0,3,0,WTA319939,WTA319001,0,1,0,0
1_2_4_2,1,2,4,2,WTA319001,WTA319939,WTA319939,AdCourt,146 KPH,Pronated,0.28 Metre,-11.327,1.44,2.713,0,DoubleFault,Net Error,True,NA,NA,0.85 Metre,NA,NA,False,False,True,-0.281,-2.261,0.036,Body,0.849,0.0,-1.663,-11.327,1.44,2.713,-0.281,-2.261,0.036,,,,,,,,,,0,1,1,0,0,0,0,3,0,WTA319939,WTA319001,0,1,0,0
1_2_5_1,1,2,5,1,WTA319001,WTA319939,WTA319001,DeuceCourt,163 KPH,Flat,NA,-11.408,-0.673,2.698,1,Forced Error,NA,False,NA,BackHand,1.04 Metre,NA,NA,False,False,True,4.731,0.884,0.031,T,1.038,0.0,0.401,13.427,1.852,1.072,0.061,0.699,0.031,,,,,,,,,,2117.18,0,0,0,0,1,0,3,1,WTA319939,WTA319001,0,1,0,0
1_3_1_1,1,3,1,1,WTA319939,WTA319001,WTA319939,DeuceCourt,152 KPH,Slice,NA,11.557,0.782,2.677,3,Forced Error,NA,False,Ground,BackHand,3.03 Metre,NA,NA,False,False,True,-5.333,-3.587,0.032,Wide,1.201,0.0,-2.087,-13.357,2.559,0.791,12.149,0.19,0.031,-11.31,-5.392,1.249,0.0,-1.085,1.67,8.16,2.055,0.034,1253.17,0,0,0,0,0,0,0,0,WTA319939,WTA319001,0,2,0,0
1_3_2_1,1,3,2,1,WTA319939,WTA319001,WTA319939,AdCourt,0 KPH,Flat,0.51 Metre,11.38,-1.367,2.667,3,Faulty Serve,Long Error,False,NA,ForeHand,1.32 Metre,NA,Wide Error,False,False,True,-6.878,4.3,0.033,Wide,1.32,0.0,2.217,11.38,-1.367,2.667,-6.878,4.3,0.033,,,,,,,,,,0,1,0,0,0,0,0,1,0,WTA319939,WTA319001,0,2,0,0
1_3_2_2,1,3,2,2,WTA319939,WTA319001,WTA319939,AdCourt,138 KPH,Slice,NA,11.446,-1.612,2.788,3,Winner,NA,False,Ground,ForeHand,1.14 Metre,Cross Court,NA,False,False,True,-5.224,0.437,0.031,T,1.236,0.0,-0.064,10.65,0.125,1.163,-7.412,-2.334,0.031,-11.488,0.92,1.327,0.0,-0.105,3.238,9.191,-0.321,0.031,2115.67,0,0,0,0,0,0,1,0,WTA319939,WTA319001,0,2,0,0
1_3_3_1,1,3,3,1,WTA319939,WTA319001,WTA319939,DeuceCourt,0 KPH,Flat,0.19 Metre,11.538,0.745,2.698,2,Faulty Serve,Wide Error,False,NA,ForeHand,1.08 Metre,NA,NA,False,False,True,-5.079,0.19,0.031,T,1.084,0.0,0.369,11.538,0.745,2.698,-5.079,0.19,0.031,,,,,,,,,,0,1,0,0,0,0,0,2,0,WTA319939,WTA319001,0,2,0,0
1_3_3_2,1,3,3,2,WTA319939,WTA319001,WTA319001,DeuceCourt,136 KPH,Slice,NA,11.756,0.788,2.784,2,Winner,NA,False,Ground,ForeHand,1.09 Metre,Down the Line,NA,False,False,True,-4.303,-2.945,0.03,Wide,1.108,0.0,-1.837,-10.871,-4.777,1.32,7.622,-3.689,0.033,-10.871,-4.777,1.32,0.0,-4.034,1.086,7.622,-3.689,0.033,815.67,0,0,0,0,0,0,2,0,WTA319939,WTA319001,0,2,0,0
1_3_4_1,1,3,4,1,WTA319939,WTA319001,WTA319939,AdCourt,162 KPH,Flat,NA,11.386,-1.78,2.676,3,Winner,NA,False,Ground,ForeHand,1.45 Metre,Cross Court,NA,False,False,True,-4.793,3.342,0.032,Wide,1.027,0.0,1.871,12.741,0.588,0.758,-8.727,-2.521,0.033,-11.115,5.177,1.085,0.0,3.004,1.573,9.536,1.238,0.031,2016.41,0,0,0,0,0,0,2,1,WTA319939,WTA319001,0,2,0,0
1_3_5_1,1,3,5,1,WTA319939,WTA319001,WTA319001,DeuceCourt,152 KPH,Flat,NA,11.674,0.779,2.742,4,Forced Error,NA,True,Ground,BackHand,0.72 Metre,NA,NA,False,False,True,-5.558,-0.844,0.03,T,1.176,0.0,-0.268,13.585,-2.818,0.823,10.317,-3.236,0.031,-11.729,-1.55,1.028,0.0,0.821,1.672,9.184,2.772,0.035,1639.11,0,0,0,0,0,0,3,1,WTA319939,WTA319001,0,2,0,0
1_3_6_1,1,3,6,1,WTA319939,WTA319001,WTA319001,AdCourt,0 KPH,NA,0.1 Metre,11.372,-1.75,2.754,4,Faulty Serve,NA,True,NA,ForeHand,0.72 Metre,NA,NA,False,False,True,0.097,2.723,0.035,Body,,,,11.372,-1.75,2.754,0.097,2.723,0.035,,,,,,,,,,0,1,0,0,0,0,0,3,2,WTA319939,WTA319001,0,2,0,0
1_3_6_2,1,3,6,2,WTA319939,WTA319001,WTA319001,AdCourt,134 KPH,Slice,NA,11.574,-1.698,2.695,4,Unforced Error,NA,False,Ground,ForeHand,1.58 Metre,NA,Wide Error,False,False,True,-6.204,3.538,0.034,Wide,1.449,0.0,1.93,12.966,0.813,1.192,-10.524,-4.691,0.033,-10.412,4.538,1.065,0.0,1.289,1.113,7.268,-1.07,0.032,1524.65,0,0,0,0,0,0,3,2,WTA319939,WTA319001,0,2,0,0
1_3_7_1,1,3,7,1,WTA319939,WTA319001,WTA319939,DeuceCourt,158 KPH,Slice,NA,11.501,0.718,2.711,5,Winner,NA,False,Ground,ForeHand,1.19 Metre,Cross Court,NA,False,False,True,-5.335,-3.518,0.032,Wide,1.175,0.0,-2.096,12.835,3.756,0.954,-6.89,-3.316,0.032,-11.015,-5.179,1.11,0.0,-1.944,1.968,10.437,0.957,0.03,1690.15,0,0,0,0,0,0,3,3,WTA319939,WTA319001,0,2,0,0
1_3_8_1,1,3,8,1,WTA319939,WTA319001,WTA319001,AdCourt,156 KPH,Flat,NA,11.536,-1.644,2.708,4,Forced Error,NA,False,Ground,ForeHand,0.95 Metre,NA,NA,False,False,True,-5.008,0.825,0.031,T,1.104,0.0,0.12,14.226,3.202,0.953,0.335,2.593,0.035,-11.543,1.691,1.19,0.0,-1.107,1.761,8.844,-3.595,0.033,1486.13,0,0,0,0,0,0,4,3,WTA319939,WTA319001,0,2,0,0
1_3_9_1,1,3,9,1,WTA319939,WTA319001,WTA319001,DeuceCourt,164 KPH,Flat,NA,11.596,0.715,2.694,6,Unforced Error,NA,False,Ground,ForeHand,1.65 Metre,NA,NA,False,False,True,-5.727,-1.631,0.031,Body,1.154,0.0,-0.797,11.095,5.136,0.974,0.171,0.192,0.031,-11.749,-2.537,0.978,0.0,-0.168,1.438,8.018,1.659,0.033,2423.2,0,0,0,0,0,0,4,4,WTA319939,WTA319001,0,2,0,0
1_3_10_1,1,3,10,1,WTA319939,WTA319001,WTA319001,AdCourt,0 KPH,NA,0.5 Metre,11.598,-1.639,2.694,1,Faulty Serve,Wide Error,False,NA,NA,0.96 Metre,NA,Wide Error,True,False,True,-4.458,4.615,0.03,Wide,0.957,0.0,2.201,11.598,-1.639,2.694,-4.458,4.615,0.03,,,,,,,,,,0,1,0,0,0,0,0,4,5,WTA319939,WTA319001,0,2,0,0
1_3_10_2,1,3,10,2,WTA319939,WTA319001,WTA319001,AdCourt,131 KPH,Slice,NA,11.56,-1.878,2.719,0,DoubleFault,Long Error,False,NA,NA,1.27 Metre,NA,NA,True,True,True,9.02,-2.581,0.033,Body,1.577,0.0,1.686,-10.521,4.309,1.079,9.02,-2.581,0.033,-10.521,4.309,1.079,0.0,0.635,1.266,9.02,-2.581,0.033,1287.15,1,1,0,0,0,0,4,5,WTA319939,WTA319001,0,2,0,0
1_4_1_1,1,4,1,1,WTA319001,WTA319939,WTA319939,DeuceCourt,163 KPH,Slice,NA,11.473,0.62,2.636,2,Unforced Error,NA,False,Ground,ForeHand,2 Metre,NA,Long Error,False,False,True,-5.993,-2.457,0.031,Body,1.225,0.0,-1.305,11.989,0.388,0.704,-12.885,3.297,0.034,-13.14,-4.013,1.083,0.0,-1.602,1.032,6.266,-0.544,0.03,2126.81,0,0,0,0,1,0,0,0,WTA319939,WTA319001,0,3,0,0
1_4_2_1,1,4,2,1,WTA319001,WTA319939,WTA319939,AdCourt,0 KPH,NA,0.5 Metre,11.08,-1.427,2.648,1,Faulty Serve,Wide Error,False,NA,NA,0.96 Metre,NA,Wide Error,False,False,True,-3.91,4.615,0.03,Wide,0.964,0.0,2.505,11.08,-1.427,2.648,-3.91,4.615,0.03,,,,,,,,,,0,1,0,0,0,0,0,0,1,WTA319939,WTA319001,0,3,0,0
1_4_2_2,1,4,2,2,WTA319001,WTA319939,WTA319939,AdCourt,152 KPH,NA,0.95 Metre,11.328,-1.529,2.663,0,DoubleFault,Wide Error,False,NA,NA,0.57 Metre,NA,NA,False,False,True,0.315,0.954,0.031,T,0.895,0.0,0.586,-0.164,0.614,0.861,0.315,0.954,0.031,,,,,,,,,,0,1,1,0,0,0,0,0,1,WTA319939,WTA319001,0,3,0,0
1_4_3_1,1,4,3,1,WTA319001,WTA319939,WTA319939,DeuceCourt,0 KPH,Flat,0.56 Metre,11.219,0.663,2.628,6,Faulty Serve,Long Error,False,NA,ForeHand,1.28 Metre,NA,NA,False,False,True,-6.957,-0.096,0.029,T,1.285,0.0,0.249,11.219,0.663,2.628,-6.957,-0.096,0.029,,,,,,,,,,0,1,0,0,0,1,0,0,2,WTA319939,WTA319001,0,3,0,0
