point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,WTA318203,WTA319473,WTA318203,DeuceCourt,109 KPH,Slice,NA,-11.56,-0.411,2.639,7,Forced Error,NA,False,NA,ForeHand,3.91 Metre,NA,NA,False,False,True,3.502,1.644,0.033,Body,,,,6.729,3.096,0.724,-12.533,-2.32,0.035,11.548,3.401,1.432,0.0,1.047,1.833,-10.605,-0.839,0.034,1167.06,0,0,0,0,0,0,0,0
NA,1,1,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,0
1_1_2_2,1,1,2,2,WTA318203,WTA319473,WTA319473,AdCourt,111 KPH,Kick,NA,-11.539,1.759,2.618,2,Winner,NA,False,NA,ForeHand,1.1 Metre,Down the Line,NA,False,False,True,4.305,-2.026,0.031,Body,1.339,0.0,-1.144,11.251,-3.606,1.658,-5.903,-4.076,0.031,11.251,-3.606,1.658,0.0,-3.919,1.101,-5.903,-4.076,0.031,1218.72,0,0,0,0,0,0,1,0
NA,1,1,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,1
1_1_3_2,1,1,3,2,WTA318203,WTA319473,WTA319473,DeuceCourt,113 KPH,Flat,NA,-11.567,-0.217,2.578,14,Winner,NA,False,NA,ForeHand,1.46 Metre,Cross Court,NA,False,False,True,3.315,0.759,0.032,T,,,,11.417,-1.856,1.171,-3.555,3.226,0.032,11.125,1.412,1.505,0.0,-0.331,1.25,-5.928,-1.081,0.032,NA,0,0,0,0,0,0,1,1
1_1_4_1,1,1,4,1,WTA318203,WTA319473,WTA318203,AdCourt,122 KPH,Kick,NA,-11.407,2.029,2.5,7,Winner,NA,False,Passing,ForeHand,1.39 Metre,Cross Court,NA,False,False,True,5.213,-3.22,0.033,Wide,1.439,0.0,-1.792,-11.555,-4.307,0.558,5.987,3.095,0.034,11.868,-5.144,1.537,0.0,-0.993,2.202,-8.484,2.271,0.033,2729.4,0,0,0,0,0,0,1,2
NA,1,1,5,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,2
1_1_5_2,1,1,5,2,WTA318203,WTA319473,WTA318203,DeuceCourt,111 KPH,Kick,NA,-11.757,-0.309,2.609,19,Unforced Error,NA,True,Ground,BackHand,0.81 Metre,NA,Net Error,False,False,True,4.486,1.616,0.031,Body,1.42,-0.0,0.861,6.195,-3.297,2.096,0.08,-2.903,0.032,11.878,2.644,1.598,0.0,-0.247,2.115,-10.693,-2.761,0.036,NA,0,0,0,0,0,0,2,2
1_1_6_1,1,1,6,1,WTA318203,WTA319473,WTA319473,AdCourt,153 KPH,Slice,NA,-11.626,1.538,2.63,10,Forced Error,NA,True,NA,ForeHand,0.81 Metre,NA,NA,False,False,True,4.118,-0.778,0.032,T,,,,-6.682,-2.44,1.439,-0.426,-1.699,0.031,13.807,-1.714,1.179,0.0,-0.511,1.203,-6.154,0.015,0.032,1857.66,0,0,0,0,0,0,3,2
1_1_7_1,1,1,7,1,WTA318203,WTA319473,WTA319473,DeuceCourt,155 KPH,Slice,NA,-11.562,-0.926,2.668,8,Unforced Error,NA,False,NA,BackHand,2.44 Metre,NA,Wide Error,False,False,True,5.644,0.957,0.034,T,,,,-14.785,2.796,0.88,9.837,-4.615,0.035,14.072,2.283,1.046,0.0,-0.148,2.132,-8.818,-1.823,0.033,2049.18,0,0,0,0,0,0,3,3
NA,1,1,8,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,3,4
1_1_8_2,1,1,8,2,WTA318203,WTA319473,WTA319473,AdCourt,116 KPH,Kick,NA,-11.395,2.078,2.515,0,DoubleFault,Long Error,False,NA,NA,1.81 Metre,NA,NA,True,True,True,6.494,-2.846,0.035,Wide,1.815,-0.0,-1.363,-11.395,2.078,2.515,6.494,-2.846,0.035,,,,,,,,,,2446.32,1,1,0,0,0,0,3,4
1_2_1_1,1,2,1,1,WTA319473,WTA318203,WTA319473,DeuceCourt,145 KPH,Flat,NA,-11.755,-0.643,2.532,1,Unforced Error,NA,False,NA,BackHand,2.09 Metre,NA,Long Error,False,False,True,4.176,1.242,0.031,T,,,,13.184,2.551,1.187,-12.422,1.144,0.035,13.184,2.551,1.187,0.0,1.844,2.088,-12.422,1.144,0.035,1839.36,0,0,0,0,1,0,0,0
1_2_2_1,1,2,2,1,WTA319473,WTA318203,WTA319473,AdCourt,139 KPH,NA,NA,-11.809,0.874,2.492,1,Unforced Error,NA,False,NA,ForeHand,2.68 Metre,NA,Long Error,False,False,True,4.979,-0.395,0.032,T,,,,13.841,-0.383,1.179,-12.885,-0.271,0.035,13.841,-0.383,1.179,0.0,-0.193,2.684,-12.885,-0.271,0.035,2520.36,0,0,0,0,0,0,1,0
1_2_3_1,1,2,3,1,WTA319473,WTA318203,WTA318203,DeuceCourt,139 KPH,Slice,NA,-11.602,-0.388,2.482,14,Forced Error,NA,False,NA,BackHand,2.05 Metre,NA,NA,False,False,True,4.786,2.744,0.033,Wide,,,,-6.139,3.427,0.299,12.067,3.41,0.03,12.91,4.657,1.242,0.0,2.368,1.788,-9.514,0.533,0.035,NA,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,WTA319473,WTA318203,WTA318203,AdCourt,126 KPH,Slice,NA,-11.653,1.126,2.521,6,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,True,4.671,-3.341,0.034,Wide,,,,-15.595,3.697,1.225,9.186,4.228,0.032,12.981,-5.039,1.118,0.0,-0.528,2.46,-7.608,2.131,0.035,NA,0,0,0,0,0,0,2,1
