point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA316959,WTA318312,WTA316959,DeuceCourt,179 KPH,Flat,NA,-11.746,-0.709,2.752,1,Ace,NA,False,NA,ForeHand,1.11 Metre,Cross Court,NA,False,False,True,5.182,0.228,0.031,T,1.115,0.0,-0.087,-11.746,-0.709,2.752,5.182,0.228,0.031,,,,,,,,,,0,0,0,0,1,0,0,0,0,WTA316959,WTA318312,0,0,0,0
1_1_2_1,1,1,2,1,WTA316959,WTA318312,WTA316959,AdCourt,174 KPH,Slice,NA,-11.397,1.227,2.758,1,Ace,NA,False,NA,ForeHand,1 Metre,Cross Court,NA,False,False,True,4.414,-0.134,0.031,T,0.998,0.0,0.187,-11.397,1.227,2.758,4.414,-0.134,0.031,,,,,,,,,,0,0,0,0,1,0,1,1,0,WTA316959,WTA318312,0,0,0,0
1_1_3_1,1,1,3,1,WTA316959,WTA318312,WTA316959,DeuceCourt,0 KPH,NA,0.73 Metre,-11.399,-1.055,2.804,3,Faulty Serve,NA,True,NA,ForeHand,1 Metre,NA,NA,False,False,True,-0.732,0.491,0.031,T,,,,-11.399,-1.055,2.804,-0.732,0.491,0.031,,,,,,,,,,0,1,0,0,0,0,1,2,0,WTA316959,WTA318312,0,0,0,0
1_1_3_2,1,1,3,2,WTA316959,WTA318312,WTA316959,DeuceCourt,134 KPH,Kick,NA,-11.716,-0.924,2.74,3,Unforced Error,NA,True,Ground,ForeHand,0.69 Metre,NA,Net Error,False,False,True,3.934,2.242,0.035,Body,1.136,0.0,1.261,-15.038,3.147,0.728,-0.224,1.335,0.03,11.195,4.003,1.576,0.0,-0.069,2.102,-11.252,-4.044,0.032,1439.38,0,0,0,0,0,0,2,0,WTA316959,WTA318312,0,0,0,0
1_1_4_1,1,1,4,1,WTA316959,WTA318312,WTA316959,AdCourt,176 KPH,Slice,NA,-11.548,1.207,2.749,1,Forced Error,NA,False,NA,BackHand,2.46 Metre,NA,NA,False,False,True,5.615,-2.936,0.032,Wide,1.162,0.0,-1.653,-13.327,-0.706,0.456,-8.339,-0.138,0.029,12.901,-4.407,1.111,0.0,-2.441,2.465,-12.357,-0.822,0.033,981.81,0,0,0,0,0,0,3,0,WTA316959,WTA318312,0,0,0,0
1_2_1_1,1,2,1,1,WTA318312,WTA316959,WTA318312,DeuceCourt,176 KPH,Flat,NA,-11.87,-0.74,2.627,1,Forced Error,NA,False,NA,BackHand,2.05 Metre,NA,NA,False,False,True,6.153,1.519,0.033,Body,1.198,0.0,0.704,13.079,2.539,1.041,-11.998,-4.963,0.033,13.079,2.539,1.041,0.0,-1.168,2.052,-11.998,-4.963,0.033,1484.35,0,0,0,0,0,0,0,0,WTA316959,WTA318312,1,0,0,0
1_2_2_1,1,2,2,1,WTA318312,WTA316959,WTA316959,AdCourt,137 KPH,Slice,NA,-11.808,1.592,2.662,2,Unforced Error,NA,False,Ground,ForeHand,1.26 Metre,NA,NA,False,False,True,5.573,-3.262,0.031,Wide,1.332,0.0,-1.899,-12.751,0.822,0.781,-0.409,-0.394,0.03,12.753,-4.987,1.356,0.0,-1.903,1.257,-5.951,-0.619,0.029,2622.28,0,0,0,0,0,0,1,0,WTA316959,WTA318312,1,0,0,0
1_2_3_1,1,2,3,1,WTA318312,WTA316959,WTA316959,DeuceCourt,0 KPH,NA,0.31 Metre,-11.877,-0.634,2.604,1,Faulty Serve,Net Error,True,NA,BackHand,0.89 Metre,NA,Net Error,False,False,True,-0.309,1.245,0.03,T,,,,-11.877,-0.634,2.604,-0.309,1.245,0.03,,,,,,,,,,0,1,0,0,0,0,0,1,1,WTA316959,WTA318312,1,0,0,0
1_2_3_2,1,2,3,2,WTA318312,WTA316959,WTA318312,DeuceCourt,150 KPH,Slice,NA,-11.962,-0.492,2.593,1,Unforced Error,NA,False,NA,BackHand,1.29 Metre,NA,NA,False,False,True,5.555,1.013,0.031,T,1.288,0.0,0.359,11.739,1.773,1.257,0.617,1.268,0.032,,,,,,,,,,1131.57,0,0,0,0,0,0,1,1,WTA316959,WTA318312,1,0,0,0
1_2_4_1,1,2,4,1,WTA318312,WTA316959,WTA318312,AdCourt,0 KPH,Pronated,1.64 Metre,-11.599,1.351,2.657,3,Faulty Serve,Long Error,False,NA,BackHand,0.92 Metre,NA,NA,False,False,True,8.039,-1.061,0.032,T,0.919,0.0,0.44,-11.599,1.351,2.657,8.039,-1.061,0.032,,,,,,,,,,0,1,0,0,0,0,0,2,1,WTA316959,WTA318312,1,0,0,0
