point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,WTA320124,WTA314206,WTA314206,DeuceCourt,164 KPH,Slice,NA,11.394,1.975,2.782,2,Unforced Error,NA,False,Ground,ForeHand,1.35 Metre,NA,NA,False,False,True,-5.414,-3.267,0.034,Wide,1.211,0.0,-1.421,11.867,2.194,0.677,6.744,0.322,0.033,-11.672,-5.634,1.213,0.0,-1.954,1.353,6.744,0.322,0.033,2099.15,0,0,0,0,0,0,0,0,WTA320124,WTA314206,0,0,0,0
1_1_2_1,1,1,2,1,WTA320124,WTA314206,WTA314206,AdCourt,0 KPH,NA,0.42 Metre,11.355,-1.339,2.742,1,Faulty Serve,Net Error,True,NA,BackHand,0.39 Metre,NA,Net Error,False,False,True,0.192,0.418,0.035,T,0.902,0.0,0.086,-0.1,0.096,0.88,0.192,0.418,0.035,,,,,,,,,,0,1,0,0,0,0,0,0,1,WTA320124,WTA314206,0,0,0,0
1_1_2_2,1,1,2,2,WTA320124,WTA314206,WTA320124,AdCourt,129 KPH,Kick,NA,11.66,-1.699,2.709,1,Unforced Error,NA,False,NA,BackHand,2.23 Metre,NA,Long Error,False,False,True,-3.742,1.004,0.034,T,1.085,0.0,0.518,-11.052,2.117,1.735,12.885,0.554,0.031,-11.052,2.117,1.735,0.0,1.436,2.232,12.885,0.554,0.031,1373.34,0,0,0,0,0,0,0,1,WTA320124,WTA314206,0,0,0,0
1_1_3_1,1,1,3,1,WTA320124,WTA314206,WTA320124,DeuceCourt,154 KPH,Slice,NA,11.376,1.851,2.778,1,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,True,-5.666,-3.721,0.034,Wide,1.25,0.0,-1.706,-11.5,-6.096,1.149,4.529,4.28,0.035,-11.5,-6.096,1.149,0.0,0.305,6.663,4.529,4.28,0.035,1008.89,0,0,0,0,0,0,1,1,WTA320124,WTA314206,0,0,0,0
1_1_4_1,1,1,4,1,WTA320124,WTA314206,WTA320124,AdCourt,0 KPH,Slice,6.48 Metre,11.335,-1.134,2.763,1,Faulty Serve,Long Error,False,NA,BackHand,2.27 Metre,NA,Long Error,False,False,True,12.885,-1.809,0.031,Body,1.259,0.0,0.271,-12.971,1.462,1.031,12.885,-1.809,0.031,-12.971,1.462,1.031,0.0,-0.091,2.271,12.885,-1.809,0.031,1269.85,1,0,0,0,0,0,2,1,WTA320124,WTA314206,0,0,0,0
1_1_4_2,1,1,4,2,WTA320124,WTA314206,WTA320124,AdCourt,145 KPH,Slice,NA,11.362,-1.354,2.706,1,Unforced Error,NA,False,NA,BackHand,1.98 Metre,NA,Wide Error,False,False,True,-6.131,1.25,0.031,T,1.474,0.0,0.565,-10.874,1.738,1.288,11.885,-4.194,0.033,-10.874,1.738,1.288,0.0,-1.03,1.978,11.885,-4.194,0.033,885.86,0,0,0,0,0,0,2,1,WTA320124,WTA314206,0,0,0,0
1_1_5_1,1,1,5,1,WTA320124,WTA314206,WTA320124,DeuceCourt,185 KPH,Flat,NA,11.349,1.557,2.675,1,Forced Error,NA,False,NA,ForeHand,2.28 Metre,NA,NA,False,False,True,-6.087,-1.213,0.032,T,1.161,0.0,-0.181,12.631,-0.776,0.332,-7.605,-2.07,0.032,-12.458,-2.366,0.963,0.0,-1.517,2.105,11.93,-0.794,0.033,1476.79,0,0,0,0,0,0,3,1,WTA320124,WTA314206,0,0,0,0
1_2_1_1,1,2,1,1,WTA314206,WTA320124,,DeuceCourt,0 KPH,Pronated,0.42 Metre,11.179,0.944,2.708,2,Faulty Serve,Wide Error,False,NA,ForeHand,1.24 Metre,NA,NA,False,False,True,-6.318,0.416,0.03,T,1.24,0.0,0.577,11.179,0.944,2.708,-6.318,0.416,0.03,,,,,,,,,,0,1,0,0,0,0,0,0,0,WTA320124,WTA314206,1,0,0,0
1_2_1_2,1,2,1,2,WTA314206,WTA320124,WTA320124,DeuceCourt,148 KPH,Pronated,NA,11.439,1.083,2.786,2,Unforced Error,NA,True,Ground,ForeHand,0.86 Metre,NA,Net Error,False,False,True,-4.085,-0.644,0.034,T,1.006,0.0,-0.276,12.666,0.517,1.104,8.126,0.298,0.033,-12.848,-1.169,1.41,0.0,-0.26,1.828,8.126,0.298,0.033,2260.94,0,0,0,0,0,0,0,0,WTA320124,WTA314206,1,0,0,0
1_2_2_1,1,2,2,1,WTA314206,WTA320124,WTA314206,AdCourt,154 KPH,Pronated,NA,11.418,-1.352,2.695,1,Forced Error,NA,True,NA,BackHand,0.13 Metre,NA,NA,False,False,True,-4.963,4.038,0.029,Wide,1.124,0.0,2.317,-12.05,6.657,1.253,-3.769,1.461,0.034,-12.05,6.657,1.253,0.0,-1.502,0.13,-3.769,1.461,0.034,NA,0,0,0,0,0,0,0,1,WTA320124,WTA314206,1,0,0,0
