point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,11493-12085,9211-26918,,DeuceCourt,195.44 KPH,Pronated,0.31 Metre,-11.203,-1.007,2.985,0,Faulty Serve,NA,True,NA,BackHand,0.88 Metre,NA,NA,False,False,True,-0.308,0.712,0.037,T,0.88,0.0,0.806,-11.203,-1.007,2.985,-0.308,0.712,0.037,,,,,,,,,,0,1,0,0,0,0,0,0,0,11493-12085,9211-26918,0,0,0,0
1_1_1_2,1,1,1,2,11493-12085,9211-26918,11493-12085,DeuceCourt,145 KPH,Pronated,NA,-11.329,-0.819,3.08,5,NA,NA,False,NA,BackHand,1.78 Metre,NA,NA,False,False,True,3.661,2.586,0.039,Body,1.105,0.0,1.486,2.936,-2.584,1.29,-12.885,-2.978,0.031,10.701,4.19,1.485,0.0,1.545,1.487,-14.083,-2.978,0.031,1208.89,0,0,0,0,0,0,0,0,11493-12085,9211-26918,0,0,0,0
1_1_2_1,1,1,2,1,11493-12085,9211-26918,9211-26918,AdCourt,200 KPH,Unclassified,NA,-11.126,1.342,2.987,2,NA,NA,False,NA,BackHand,2.42 Metre,NA,NA,False,False,True,5.352,-3.161,0.031,Wide,1.175,0.0,-1.737,-1.898,2.286,2.015,-0.182,3.449,0.037,12.047,-4.992,1.3,0.0,1.256,2.417,-0.182,3.449,0.037,NA,0,0,0,0,0,0,1,0,11493-12085,9211-26918,0,0,0,0
1_1_3_1,1,1,3,1,11493-12085,9211-26918,11493-12085,DeuceCourt,190 KPH,Slice,NA,-11.148,-1.092,2.937,1,Ace,NA,False,NA,ForeHand,1.12 Metre,Cross Court,NA,False,False,True,4.688,3.574,0.038,Wide,1.121,0.0,2.02,-11.148,-1.092,2.937,4.688,3.574,0.038,,,,,,,,,,0,0,0,0,1,0,0,1,1,11493-12085,9211-26918,0,0,0,0
1_1_4_1,1,1,4,1,11493-12085,9211-26918,11493-12085,AdCourt,213.04 KPH,Unclassified,0.22 Metre,-10.97,1.063,2.979,0,Faulty Serve,NA,True,NA,BackHand,0.62 Metre,NA,NA,False,False,True,-0.223,-2.919,0.034,Wide,0.621,0.0,-2.167,-10.97,1.063,2.979,-0.223,-2.919,0.034,,,,,,,,,,0,1,0,0,0,0,1,2,1,11493-12085,9211-26918,0,0,0,0
1_1_4_2,1,1,4,2,11493-12085,9211-26918,11493-12085,AdCourt,162 KPH,Unclassified,NA,-11.329,1.814,3.035,3,NA,NA,False,NA,BackHand,1.22 Metre,NA,NA,False,False,True,4.929,-0.985,0.038,T,1.279,0.0,-0.327,6.763,-0.658,0.607,1.035,-0.815,0.045,11.646,-2.148,1.94,0.0,-2.474,1.09,5.061,-0.926,0.039,2322.3,0,0,0,0,0,0,2,1,11493-12085,9211-26918,0,0,0,0
1_1_5_1,1,1,5,1,11493-12085,9211-26918,9211-26918,DeuceCourt,188 KPH,Flat,NA,-11.273,-0.847,2.964,8,NA,NA,False,NA,BackHand,1.14 Metre,NA,NA,False,False,True,4.563,3.035,0.037,Wide,1.082,0.0,1.806,-3.188,2.012,1.269,3.323,2.29,0.037,12.594,5.09,1.591,0.0,3.051,1.872,4.264,-1.205,0.035,NA,0,0,0,0,0,0,3,1,11493-12085,9211-26918,0,0,0,0
1_1_6_1,1,1,6,1,11493-12085,9211-26918,11493-12085,AdCourt,206 KPH,Unclassified,NA,-11.04,1.331,3.001,1,NA,NA,False,NA,BackHand,1.21 Metre,NA,NA,False,False,True,5.627,-3.068,0.035,Wide,1.213,0.0,-1.607,12.082,-4.726,1.256,5.627,-3.068,0.035,,,,,,,,,,1993.12,0,0,0,0,0,0,3,2,11493-12085,9211-26918,0,0,0,0
1_2_1_1,1,2,1,1,9211-26918,11493-12085,9211-26918,DeuceCourt,0 KPH,NA,NA,,,,0,NA,NA,False,NA,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11493-12085,9211-26918,1,0,0,0
1_2_2_1,1,2,2,1,9211-26918,11493-12085,9211-26918,AdCourt,0 KPH,Pronated,NA,-11.549,0.834,3.021,0,NA,NA,False,NA,BackHand,1.79 Metre,NA,NA,False,False,True,4.57,-2.557,0.031,Body,0.991,0.0,-1.695,13.615,-4.076,1.238,-10.886,3.024,0.035,13.615,-4.076,1.238,0.0,-0.236,1.793,-10.886,3.024,0.035,1706.58,0,0,0,0,0,0,1,0,11493-12085,9211-26918,1,0,0,0
